Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler",Fremstilling af andre organiske basiskemikalier,"Fremstilling af parfume, hårshampoo, tandpasta mv.",Fremstilling af andre kemiske produkter i.a.n.,Fremstilling af plast i ubearbejdet form,Fremstilling af gødningsstoffer og nitrogenprodukter,"Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer",Fremstilling af industrigasser,"Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter",Fremstilling af kemofibre,Fremstilling af andre uorganiske basiskemikalier,Fremstilling af farvestoffer og pigmenter,Fremstilling af flydende biobrændstoffer
Nordic Formulation Technology A/S,"Søholm Park 1, 2900 Hellerup",Gentofte,18.04.2017,11.0,Lille,Aktieselskab,38581279,1.0,6970000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bollerup Jensen Wood ApS,"Bindesbølvej 16-20, 6880 Tarm",Ringkøbing-Skjern,22.12.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,34091471,80.0,-9000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDISIS ApS,"Kærvej 34, 9500 Hobro",Mariagerfjord,20.02.2009,1.0,Mikro,Anpartsselskab,32066569,125.0,294000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVO NORDISK A/S,"Novo Alle 1, 2880 Bagsværd",Gladsaxe,28.11.1931,32792.0,Stor,Aktieselskab,24256790,446.5,159645000000.0,DKK,2023.0,1,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Topsil GlobalWafers A/S,"Siliciumvej 1, 3600 Frederikssund",Frederikssund,01.07.2016,256.0,Stor,Aktieselskab,37842222,1.0,190016000.0,DKK,2023.0,1,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dinné ApS,"Ferskenvej 93, 9000 Aalborg",Aalborg,09.06.2018,1.0,Mikro,Anpartsselskab,39631210,50.0,-280000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPENHAGEN HYDROGEN NETWORK A/S,"Uraniavej 6, 8700 Horsens",Horsens,02.05.2011,Ikke oplyst,Ikke oplyst,Aktieselskab,33641389,1.0,3738000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NATULIQUE ApS,"Vester Allé 7, 8000 Aarhus C",Århus,01.01.1998,25.0,Lille,Anpartsselskab,20590599,125.0,9481000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTPHALS FABRIKKER A/S,"Møbjergvej 45, 7260 Sønder Omme",Billund,01.12.2001,11.0,Lille,Aktieselskab,26376181,1.6,2885000.0,DKK,2023.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM DENMARK A/S,"Heimdalsgade 37 B st, 2200 København N",København,17.01.1985,4.0,Mikro,Aktieselskab,76957118,1.0,1866000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIONUTRIA DENMARK ApS,"Ringvejen 8, 9560 Hadsund",Mariagerfjord,11.01.1999,12.0,Lille,Anpartsselskab,21403644,500.0,7901000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.B. MILJØTEKNIK ApS,"Sønderødvej 18, 4291 Ruds Vedby",Sorø,01.01.1991,Ikke oplyst,Ikke oplyst,Anpartsselskab,15006641,125.0,-40000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DenCoat International ApS,"Aabylundvænget 14, 5580 Nørre Aaby",Middelfart,19.01.2022,1.0,Mikro,Anpartsselskab,43018353,40.0,392000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puresoap ApS,"Byledet 16, 2820 Gentofte",Gentofte,11.07.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40654194,40.0,-4000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRK CHEMICALS ApS,"Støberivej 7, 3660 Stenløse",Egedal,01.01.1994,Ikke oplyst,Ikke oplyst,Anpartsselskab,17673602,200.0,-368000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DOMINATOR TECHNOLOGY ApS,"Mosetoften 1, 8722 Hedensted",Hedensted,17.04.2009,6.0,Mikro,Anpartsselskab,32098614,125.0,2020000.0,DKK,2024.0,1,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRALIAN BODYCARE CONTINENTAL 2012 ApS,"Trævænget 14, 5492 Vissenbjerg",Assens,10.02.2012,48.0,Lille,Anpartsselskab,34226261,80.0,45973000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANA LIM A/S,"Københavnsvej 220, 4600 Køge",Køge,06.02.1974,204.0,Mellemstor,Aktieselskab,49294514,7.5,171497000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLSTROP ANTIFIRE ApS,"Gelballevej 80, 6640 Lunderskov",Kolding,30.01.2014,3.0,Mikro,Anpartsselskab,35655174,80.0,1522000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RESINO INKS A/S,"Metalbuen 13, 2750 Ballerup",Ballerup,18.12.1984,53.0,Mellemstor,Aktieselskab,76654611,3.1,43940000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Karen Krogh ApS,"Østergade 103, 9440 Aabybro",Jammerbugt,02.03.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36559071,50.0,60000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alba Beauty Nordic ApS,"Frydenlundsvej 30, 2950 Vedbæk",Rudersdal,01.04.2017,3.0,Mikro,Anpartsselskab,38559397,50.0,11878000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VeSoe ApS,"Sperrestrupvej 36, 3650 Ølstykke",Egedal,01.06.2016,1.0,Mikro,Anpartsselskab,37780790,50.0,396000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
N2C Production ApS,"Lerbækvej 8, 2680 Solrød Strand",Solrød,02.03.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38471740,50.0,123000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVADAN ApS,"Platinvej 21, 6000 Kolding",Kolding,08.10.1980,67.0,Mellemstor,Anpartsselskab,63129216,6.0,106656000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRÆSTRUD & KJELDSMARK ApS,"Fruedalsvej 10, 4682 Tureby",Faxe,16.02.1977,1.0,Mikro,Anpartsselskab,65036614,126.0,655000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Denmark ApS,"Veldbæk Industrivej 18, 6705 Esbjerg Ø",Esbjerg,01.07.2021,44.0,Lille,Anpartsselskab,42515191,100.0,-7340000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC Coating ApS,"Hobrovej 963, 9530 Støvring",Rebild,27.02.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40293728,50.0,318000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Myresand ApS,"Vendbjergvej 22, 7950 Erslev",Morsø,26.04.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37642665,250.0,13000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Made by Mama ApS,"Holte Stationsvej 16, 2840 Holte",Rudersdal,31.03.2017,6.0,Mikro,Anpartsselskab,38538098,2.509,935000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurm Pharma ApS,"Ferrarivej 12, 7100 Vejle",Vejle,18.12.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,39181274,50.0,91000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAFARM A/S,"Ferrarivej 12, 7100 Vejle",Vejle,06.06.2002,Ikke oplyst,Ikke oplyst,Aktieselskab,26638445,500.0,739000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHJERNING FARVER A/S,"Østeralle 21, 8400 Ebeltoft",Syddjurs,03.07.1987,19.0,Lille,Aktieselskab,10911087,1.655,3745000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RONS ApS,"Forsythiavej 2, 2640 Hedehusene",Høje-Taastrup,12.02.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40253491,50.0,-207000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAKA DENMARK A/S,"Lundagervej 21, 8722 Hedensted",Hedensted,22.06.2011,255.0,Stor,Aktieselskab,33776039,27.54,31707000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UNIQUE PRODUCTS ApS,"Gørtlervej 6, 7000 Fredericia",Fredericia,30.06.2006,3.0,Mikro,Anpartsselskab,29689776,125.0,906000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMPILOTS A/S,"Rugmarken 22-24, 3520 Farum",Furesø,01.04.1998,18.0,Lille,Aktieselskab,20944242,1.08,30215000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Umicore Denmark ApS,"Kogle Alle 1, 2970 Hørsholm",Hørsholm,28.08.2017,39.0,Lille,Anpartsselskab,38892304,37.777,58343000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lingit Denmark ApS,"Vietsvej 12, 3760 Gudhjem",Bornholm,30.06.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37866083,54.0,112000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Topsoe A/S,"Haldor Topsøes Allé 1, 2800 Kgs. Lyngby",Lyngby-Taarbæk,30.11.1972,1945.0,Stor,Aktieselskab,41853816,386.25,2581000000.0,DKK,2023.0,1,1,20,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KiiltoClean A/S,"Frederik Plums Vej 2, 5610 Assens",Assens,15.03.1980,91.0,Mellemstor,Aktieselskab,89461014,1.0,55148000.0,DKK,2023.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
USB akvariegødning ApS,"Overlundvej 21, 8830 Tjele",Viborg,14.05.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41367725,40.0,,nan,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLOORCOAT A/S,"Egestubben 4 C, 5270 Odense N",Odense,19.10.2007,Ikke oplyst,Ikke oplyst,Aktieselskab,31066239,500.0,1545000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WET WIPE A/S,"Vallensbækvej 65, 2625 Vallensbæk",Vallensbæk,01.01.2007,11.0,Lille,Aktieselskab,30207726,500.0,13453000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BURNBLOCK HOLDING ApS,"Wilders Plads 15 C, 1403 København K",København,11.03.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33581076,100.0,240000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XELLENCE ApS,"Rugvænget 19 E, 2630 Taastrup",Høje-Taastrup,24.02.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35669256,50.0,199000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlackDiamond Squeegee ApS,"Sct Anna Gade 69 C, 3000 Helsingør",Helsingør,14.08.2018,1.0,Mikro,Anpartsselskab,39781492,44.0,221000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAGONBLAST ApS,"Dommervænget 22 B 1 th, 4000 Roskilde",Roskilde,12.01.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33387482,80.0,-43000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOCOAT INDUSTRIAL A/S,"Stålvej 3, 6000 Kolding",Kolding,03.12.1999,55.0,Mellemstor,Aktieselskab,25067282,1.5,24316000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Candy Bulsara Parfums ApS,"Jernbanevej 36, 4450 Jyderup",Holbæk,22.05.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36906448,50.0,-76000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BECK & JØRGENSEN A/S,"Rosenkæret 25-29, 2860 Søborg",Gladsaxe,10.02.1941,128.0,Mellemstor,Aktieselskab,63749028,5.0,89216000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HINNUM PLAST A/S,"Håndværkerbyen 6, 2670 Greve",Greve,01.01.2003,5.0,Mikro,Aktieselskab,10113113,500.0,1286000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCE Skadedyrsservice ApS,"Horstedvej 24, 7100 Vejle",Vejle,19.06.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41463996,40.0,70000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alumichem A/S,"Blokken 38, 3460 Birkerød",Rudersdal,02.11.1982,44.0,Lille,Aktieselskab,70895528,4.302,36515000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AALBORG KEMI ApS,"Kemivej 6, 9310 Vodskov",Aalborg,26.11.1976,1.0,Mikro,Anpartsselskab,59600613,125.0,630000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingredien A/S,"Rho 4, 8382 Hinnerup",Favrskov,08.07.2009,15.0,Lille,Aktieselskab,32286941,400.0,7543000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP-MASKING ApS,"Soldalen 1, 7100 Vejle",Vejle,28.08.2006,9.0,Mikro,Anpartsselskab,29778639,125.0,3291000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ARDEX SKANDINAVIA A/S,"Marielundvej 4, 2730 Herlev",Herlev,14.04.1967,44.0,Lille,Aktieselskab,11709214,16.7,56414000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yrolí ApS,"Stationsvej 9, 3480 Fredensborg",Fredensborg,19.04.2021,2.0,Mikro,Anpartsselskab,42315036,50.0,-104000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRINOL A/S,"Søagervej 9, 9500 Hobro",Mariagerfjord,14.11.2006,Ikke oplyst,Ikke oplyst,Aktieselskab,30068572,1.0,5398000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Silikatteknik ApS,"Stenbjergvej 3 B, 8410 Rønde",Syddjurs,13.12.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42911070,40.0,67000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDKEMI DANMARK ApS,"Marinebuen 15, 4700 Næstved",Næstved,23.12.2002,7.0,Mikro,Anpartsselskab,10123623,125.0,2865000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myco4Food ApS,"Ole Maaløes Vej 3, 2200 København N",København,10.02.2022,4.0,Mikro,Anpartsselskab,43071823,40.0,509000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYDRO-X A/S,"Tylstrupvej 50, 9320 Hjallerup",Brønderslev-Dronninglund,16.03.1970,4.0,Mikro,Aktieselskab,29207518,600.0,6965000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waves Studios ApS,"Amalievej 14, 1875 Frederiksberg C",Frederiksberg,21.06.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42479055,40.0,-292000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handmadecosmetic ApS,"Gørtlervej 6, 7000 Fredericia",Fredericia,04.11.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41865237,45.0,18000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKTIESELSKABET EINAR WILLUMSEN,"Abildager 23-25, 2605 Brøndby",Brøndby,18.01.1930,96.0,Mellemstor,Aktieselskab,10343216,6.0,37105000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sature A/S,"Bindesbølvej 16, 6880 Tarm",Ringkøbing-Skjern,24.08.2022,Ikke oplyst,Ikke oplyst,Aktieselskab,43472305,500.0,-805000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANI-SHINE ApS,"Gulspurvevej 11, 3400 Hillerød",Hillerød,01.11.1988,1.0,Mikro,Anpartsselskab,12668473,80.0,445000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOCA Denmark A/S,"Tværvej 6, 6640 Lunderskov",Kolding,06.02.2004,57.0,Mellemstor,Aktieselskab,27599028,10.0,46608000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bollerup Jensen Retail A/S,"Bindesbølvej 16, 6880 Tarm",Ringkøbing-Skjern,16.01.2019,Ikke oplyst,Ikke oplyst,Aktieselskab,40183485,2.0,47000.0,DKK,2023.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLISON A/S,"Finn Thostrup Engen 1, 9500 Hobro",Mariagerfjord,01.06.1989,60.0,Mellemstor,Aktieselskab,13216002,3.125,23594000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juhldal ApS,"Nordre Fasanvej 190 B 2 tv, 2000 Frederiksberg",Frederiksberg,29.03.2016,1.0,Mikro,Anpartsselskab,37570222,50.0,749000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bodyologist ApS,"Jernbane Alle 55, 3060 Espergærde",Helsingør,03.06.2021,2.0,Mikro,Anpartsselskab,42444014,40.0,849000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPH EJENDOMME ApS,"Morbærhaven 22, 5450 Otterup",Nordfyns,20.06.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29622655,125.0,397000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLC AF 2006 ApS,"Landskronagade 48 A, 2100 København Ø",København,24.09.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29804664,125.0,-40000.0,DKK,2023.0,0,0,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTI CHEM A/S,"Erhvervsparken 16, 4621 Gadstrup",Roskilde,02.03.1988,22.0,Lille,Aktieselskab,11992099,3.6,22208000.0,DKK,2023.0,0,0,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MorGen Energy ApS,"Borgergade 38 1, 6700 Esbjerg",Esbjerg,23.07.2021,16.0,Lille,Anpartsselskab,42560014,13.0,-7259000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Y.E.S. ApS,"Skovgårdsvej 1, 4560 Vig",Odsherred,01.07.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32289207,210.0,-11000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEPIDAN ApS,"Østerbrogade 23, 9670 Løgstør",Vesthimmerland,01.06.1993,33.0,Lille,Anpartsselskab,17077848,200.0,5818000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dansk Biofiber og Gødning A/S,"Viderupgårdsvej 15 B, 9240 Nibe",Aalborg,25.10.2019,6.0,Mikro,Aktieselskab,40897739,1.1,3812000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S.K. 1 ApS,"Villavej 4 A, 7400 Herning",Herning,16.09.2003,2.0,Mikro,Anpartsselskab,27344593,40.0,502000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELDON BIOLOGICALS A/S,"Sandtoften 10, 2820 Gentofte",Gentofte,10.08.2002,13.0,Lille,Aktieselskab,26747007,500.0,14865000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMSON PAINT ApS,"Søbrovej 24, 5683 Haarby",Assens,08.01.2005,Ikke oplyst,Ikke oplyst,Anpartsselskab,28327684,125.0,33000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SKOVGAARD & FRYDENSBERG PRODUKTION ApS,"Havneholmen 42 2 tv, 1561 København V",København,01.05.1998,Ikke oplyst,Ikke oplyst,Anpartsselskab,21077143,125.0,57000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NitroVolt ApS,"Maskinvej 5, 2860 Søborg",Gladsaxe,28.06.2023,11.0,Lille,Anpartsselskab,44157969,54.0,1329000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croda Denmark A/S,"Elsenbakken 23, 3600 Frederikssund",Frederikssund,01.08.2014,118.0,Mellemstor,Aktieselskab,36058714,500.0,107136000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MELLISA NATURKOSMETIK ApS,"Hørsholm Kongevej 21, 2970 Hørsholm",Hørsholm,17.05.1993,2.0,Mikro,Anpartsselskab,16998672,200.0,288000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecoblaq ApS,"Sønder Boulevard 83 3 th, 1720 København V",København,13.12.2022,2.0,Mikro,Anpartsselskab,43707604,40.0,-79000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOSA ApS,"Sonnerupvej 41, 3300 Frederiksværk",Halsnæs,01.01.2002,12.0,Lille,Anpartsselskab,26453844,125.0,5194000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMI A/S,"Gammelgårdsvej 67, 3520 Farum",Furesø,15.05.1977,10.0,Lille,Aktieselskab,80924119,500.0,4014000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Newtech ApS,"Havnevej 25, 3300 Frederiksværk",Halsnæs,15.11.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38182528,50.0,343000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
