Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler",Fremstilling af andre organiske basiskemikalier,"Fremstilling af parfume, hårshampoo, tandpasta mv.",Fremstilling af andre kemiske produkter i.a.n.,Fremstilling af plast i ubearbejdet form,Fremstilling af gødningsstoffer og nitrogenprodukter,"Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer",Fremstilling af industrigasser,"Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter",Fremstilling af kemofibre,Fremstilling af andre uorganiske basiskemikalier,Fremstilling af farvestoffer og pigmenter,Fremstilling af flydende biobrændstoffer
Halorefine ApS,"Niels Bohrs Vej 6, 6700 Esbjerg",Esbjerg,20.01.2022,2.0,Mikro,Anpartsselskab,42994634,40.0,1021000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGL NORDIC A/S,"Industriskellet 10, 2635 Ishøj",Ishøj,21.12.1971,10.0,Lille,Aktieselskab,34613311,2.5,9204000.0,DKK,2024.0,1,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BESMA INTERNATIONAL CHEM A/S,"Friis Hansens Vej 6, 7100 Vejle",Vejle,01.09.1981,7.0,Mikro,Aktieselskab,67235711,600.0,5036000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYTRACKS ApS,"Parkhøjvej 32, 3660 Stenløse",Egedal,13.10.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33962975,310.0,185000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caldic Ingredients Denmark A/S,"Mimersvej 1, 8722 Hedensted",Hedensted,30.11.1992,36.0,Lille,Aktieselskab,16545996,4.1,35610000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Topsoe SOEC Production A/S,"Haldor Topsøes Allé 1, 2800 Kongens Lyngby",Lyngby-Taarbæk,14.12.2022,72.0,Mellemstor,Aktieselskab,43707043,400.0,-25000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danica Skincare ApS,"Krudtværksalleen 20, 3300 Frederiksværk",Halsnæs,11.02.2016,1.0,Mikro,Anpartsselskab,37441821,50.0,16000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIQUE KROP OG SKØNHEDSPLEJE ApS,"Vestergade 3 1, 8800 Viborg",Viborg,04.07.2008,1.0,Mikro,Anpartsselskab,31615747,125.0,753000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH2 Danmark A/S,"Agern Alle 5 A, 2970 Hørsholm",Hørsholm,11.05.2022,1.0,Mikro,Aktieselskab,43284061,400.0,-622000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alaska A/S,"Løkkebyvej 12, 5953 Tranekær",Langeland,01.09.2000,32.0,Lille,Aktieselskab,25590627,1.5,20540000.0,DKK,2024.0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6 Nordic A/S,"Tranåsvej 33, 9300 Sæby",Frederikshavn,19.08.1980,47.0,Lille,Aktieselskab,62124814,1.0,27355000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mea-Vitacare ApS,"Strandgården 108, 2680 Solrød Strand",Solrød,08.04.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43191411,40.0,-76000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSROC A/S,"Sundkrogsgade 21, 2100 København Ø",København,01.10.1988,Ikke oplyst,Ikke oplyst,Aktieselskab,47252059,5.0,5951000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MASH Makes SPV02 ApS,"Østersøvej 28 A, 2150 Nordhavn",København,28.12.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43735586,313.0,-627000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LULAB A/S,"Østre Teglværksvej 24, 3450 Allerød",Allerød,01.11.1991,2.0,Mikro,Aktieselskab,15560738,1.0,-2790000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERAMAX A/S,"Højvangsvej 31, 4340 Tølløse",Holbæk,30.04.1982,1.0,Mikro,Aktieselskab,68391628,500.0,366000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASH Makes A/S,"Østersøvej 28 B, 2150 Nordhavn",København,17.09.2015,16.0,Lille,Aktieselskab,37102059,513.0,-12903000.0,DKK,2023.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unique Pyrotechnic Denmark ApS,"Industriparken 4 A, 4100 Ringsted",Ringsted,24.11.2022,2.0,Mikro,Anpartsselskab,43665669,40.0,900000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prozymex 2017 ApS,"Agern Alle 3, 2970 Hørsholm",Hørsholm,19.09.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,40010114,500.0,-34000.0,DKK,2024.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREENF ApS,"Allinggårdsvej 145, 8600 Silkeborg",Silkeborg,21.10.2011,2.0,Mikro,Anpartsselskab,33970463,80.0,791000.0,DKK,2024.0,1,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK-ABELLÓ A/S,"Bøge Alle 6-8, 2970 Hørsholm",Hørsholm,09.08.1961,939.0,Stor,Aktieselskab,63717916,111.412,3552000000.0,DKK,2024.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHOTOCAT A/S,"Langebjerg 4, 4000 Roskilde",Roskilde,31.07.2009,7.0,Mikro,Aktieselskab,32357903,5.995,6327000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKR-Epoxy ApS,"Lidemarksvej 75, 4632 Bjæverskov",Køge,30.05.2016,2.0,Mikro,Anpartsselskab,37766771,50.0,594000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
