Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne,Fremstilling af andre dele og tilbehør til motorkøretøjer,Fremstilling af motorkøretøjer,Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer
GRENENS CONTAINERFABRIK ApS,"Rostrup Byvej 4, 9510 Arden",Mariagerfjord,15.08.2002,Ikke oplyst,Ikke oplyst,Anpartsselskab,26754453,125.0,-6000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
IPS Denmark A/S,"Europavej 15, 6330 Padborg",Aabenraa,14.06.2018,15.0,Lille,Aktieselskab,39640449,500.0,4735000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
Møller Jensen Ejendomme ApS,"Svendborgvej 64, 5762 Vester Skerninge",Svendborg,02.10.2014,3.0,Mikro,Anpartsselskab,36396156,51.0,669000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
Aalborg Bilindretning ApS,"Bøgildsmindevej 5, 9400 Nørresundby",Aalborg,05.06.2014,5.0,Mikro,Anpartsselskab,32349625,50.0,4002000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
ROSLEV KAROSSERIFABRIK A/S,"Rybjergvej 22, 7870 Roslev",Skive,14.09.1972,5.0,Mikro,Aktieselskab,38843311,500.0,2805000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
TAS Caliper ApS,"Messevej 12, 9600 Aars",Vesthimmerland,05.07.2016,3.0,Mikro,Anpartsselskab,37853763,50.0,904000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
ALS BILINDRETNING ApS,"Smedegade 14 A, 6440 Augustenborg",Sønderborg,27.06.2008,5.0,Mikro,Anpartsselskab,31595908,125.0,1573000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
OF Gear ApS,"Bergthorasgade 2, 2300 København S",København,10.06.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36919930,50.0,652000.0,DKK,2024.0,0,0,29,,0.0,0.0,1.0
AMMINEX EMISSIONS TECHNOLOGY A/S,"Nørrelundvej 10, 2730 Herlev",Herlev,31.10.2012,3.0,Mikro,Aktieselskab,34726973,20.326,-293000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
FABRIKA A/S,"Normansvej 1, 8920 Randers NV",Randers,31.12.2012,13.0,Lille,Aktieselskab,34903581,500.0,13767000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
moveero A/S,"Nagbølvej 31, 6640 Lunderskov",Kolding,07.10.1966,301.0,Stor,Aktieselskab,19879712,51.7,159103000.0,DKK,2023.0,1,1,29,,1.0,0.0,0.0
TE Automotive ApS,"Flensborgvej 9 A, 6340 Kruså",Aabenraa,25.08.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44262630,40.0,-37000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
AKA - DANBOX A/S,"Nørremarken 6, 6823 Ansager",Varde,23.04.1996,43.0,Lille,Aktieselskab,19277143,500.0,22202000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
F. KLEEMANN MOTORCYCLES ApS,"Bakkegårdsvej 306, 3050 Humlebæk",Fredensborg,04.10.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33957483,204.0,-5000.0,DKK,2023.0,0,0,29,,1.0,1.0,0.0
Agile Automotive ApS,"Kærmindevej 2 B, 6580 Vamdrup",Kolding,26.02.2016,3.0,Mikro,Anpartsselskab,37527076,57.0,1103000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
MegaFedt ApS,"Mynderupvej 45, 9760 Vrå",Hjørring,11.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40933808,40.0,7000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
VALD. BIRN A/S,"Frøjkvej 75, 7500 Holstebro",Holstebro,19.07.1941,536.0,Stor,Aktieselskab,26681111,150.0,91421000.0,DKK,2023.0,1,0,29,,1.0,0.0,0.0
JOHANNES PEDERSEN A/S,"Hjulmagervej 2, 8800 Viborg",Viborg,22.12.1977,49.0,Lille,Aktieselskab,82941312,2.5,59513000.0,DKK,2023.0,1,0,29,,1.0,0.0,0.0
Westwood Development ApS,"Julius Posselts Vej 3 A 20 1, 9400 Nørresundby",Aalborg,08.07.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40655166,40.0,-122000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
CORNETT AUTOSOLSKÆRME ApS,"Toftumvej 2, 6893 Hemmet",Ringkøbing-Skjern,18.11.1993,1.0,Mikro,Anpartsselskab,17419544,200.0,365000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
Motorhino Motorcycles ApS,"Nordtoften 7, 2640 Hedehusene",Høje-Taastrup,28.08.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41634626,41.0,-247000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
Proff-Bilindretning ApS,"Tømrersvinget 21, 6360 Tinglev",Aabenraa,26.04.2022,11.0,Lille,Anpartsselskab,43223496,52.0,899000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
MICODAN A/S,"Industrimarken 4, 9530 Støvring",Rebild,11.01.1980,44.0,Lille,Aktieselskab,88484312,4.43,26646000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
XL Chassis ApS,"Ågade 73, 7850 Stoholm Jyll",Viborg,05.07.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39705222,50.0,980000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
Ebusco Denmark ApS,"Fruebjergvej 3, 2100 København Ø",København,07.04.2022,1.0,Mikro,Anpartsselskab,43208179,40.0,965000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
FHYD ApS,"Erhvervsparken 17, 4621 Gadstrup",Roskilde,28.09.2022,17.0,Lille,Anpartsselskab,43556681,40.0,-19000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
JØNI AABYBRO ApS,"Mølhavevej 1, 9440 Aabybro",Jammerbugt,30.09.2003,13.0,Lille,Anpartsselskab,27364748,125.0,5137000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
SCANCAMP A/S,"Højgårdsvej 1 B, 4540 Fårevejle",Odsherred,01.11.1993,4.0,Mikro,Aktieselskab,17551337,500.0,3782000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
HBN - TEKNIK A/S,"Bragesvej 16, 4100 Ringsted",Ringsted,10.07.1974,43.0,Lille,Aktieselskab,51502612,8.0,39270000.0,DKK,2023.0,1,0,29,,1.0,0.0,0.0
DANSK SNEKÆDEFABRIK ApS,"Svendborgvej 64, 5762 Vester Skerninge",Svendborg,30.12.1983,Ikke oplyst,Ikke oplyst,Anpartsselskab,73458528,200.0,37000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
JA - COOLING ApS,"Truenbrovej 21, 6400 Sønderborg",Sønderborg,06.12.2006,1.0,Mikro,Anpartsselskab,28671806,125.0,552000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
LAVMANDS LAST & KARROSSERI A/S,"Kærup Parkvej 13, 4100 Ringsted",Ringsted,01.01.2005,38.0,Lille,Aktieselskab,28854412,556.0,16676000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
BIELEFELDT KØLERSERVICE HORSENS ApS,"Finlandsvej 1, 8700 Horsens",Horsens,01.01.1999,2.0,Mikro,Anpartsselskab,21500747,125.0,504000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
KLJ Blomsterhaven ApS,"Blomsterhaven 57, 4300 Holbæk",Holbæk,01.08.1986,Ikke oplyst,Ikke oplyst,Anpartsselskab,10359104,200.0,-11000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
HANSEN PLOVEN ApS,"Lillemosevej 9, 2640 Hedehusene",Høje-Taastrup,12.08.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,27986846,125.0,111000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
TIMAN A/S,"Osvald Pedersens Vej 2 A, 6980 Tim",Ringkøbing-Skjern,24.02.2004,39.0,Lille,Aktieselskab,27609627,705.0,9538000.0,DKK,2024.0,0,0,29,,0.0,1.0,0.0
RealTruck Denmark ApS,"Pedersholmparken 10, 3600 Frederikssund",Frederikssund,01.05.1995,140.0,Mellemstor,Anpartsselskab,18527030,200.0,27682000.0,DKK,2023.0,1,0,29,,1.0,0.0,0.0
BUDWEG CALIPER A/S,"Industrivej 10, 5260 Odense S",Odense,20.09.1985,209.0,Mellemstor,Aktieselskab,79132217,500.0,66357000.0,DKK,2023.0,1,0,29,,1.0,0.0,0.0
BENTZEN AUTOKAROSS ApS,"Industriholmen 55, 2650 Hvidovre",Hvidovre,17.03.1980,49.0,Lille,Anpartsselskab,89089816,575.0,25057000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
MENETA DANMARK ApS,"Strandholtvej 49, 5270 Odense N",Odense,23.07.2014,58.0,Mellemstor,Anpartsselskab,36057505,50.0,46844000.0,DKK,2023.0,1,1,29,,1.0,0.0,0.0
TECHRON ApS,"Mogensensvej 29, 5000 Odense C",Odense,01.04.2008,4.0,Mikro,Anpartsselskab,30526155,125.0,1436000.0,DKK,2024.0,0,0,29,,0.0,0.0,1.0
Renteq ApS,"A.P. Møllers Allé 9 B, 2791 Dragør",Tårnby,09.06.2020,5.0,Mikro,Anpartsselskab,41417617,40.0,895000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
Nissens Automotive Service A/S,"Ormhøjgårdvej 9, 8700 Horsens",Horsens,12.03.2021,46.0,Lille,Aktieselskab,42210749,1.0,23332000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
VARIANT A/S,"Godthåbsvej 5, 7100 Vejle",Vejle,15.12.1975,105.0,Mellemstor,Aktieselskab,54899416,500.0,72624000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
Automobility-X ApS,"Thrigesvej 37 E, 7430 Ikast",Ikast-Brande,27.04.2021,4.0,Mikro,Anpartsselskab,42342386,40.0,1563000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
BREMSEGÅRDEN I TILST ApS,"Sintrupvej 11 B, 8220 Brabrand",Århus,24.08.2007,8.0,Mikro,Anpartsselskab,30811356,125.0,2762000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
STOKO PLAST A/S,"Nylandsvej 19, 6940 Lem St",Ringkøbing-Skjern,21.03.2003,27.0,Lille,Aktieselskab,27079334,501.0,16720000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
MENETA ADVANCED SHIMS TECHNOLOGY A/S,"Strandholtvej 49, 5270 Odense N",Odense,01.11.2001,178.0,Mellemstor,Aktieselskab,26314089,525.0,108638000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
DANILIFT A/S,"Søndergården 34, 9640 Farsø",Vesthimmerland,01.01.1994,45.0,Lille,Aktieselskab,17611542,2.5,20632000.0,DKK,2024.0,1,0,29,,0.0,1.0,0.0
D.A. PRODUKTION A/S,"Gejlhavegård 4, 6000 Kolding",Kolding,29.03.1993,9.0,Mikro,Aktieselskab,16936235,1.2,3818000.0,DKK,2024.0,0,0,29,,1.0,0.0,0.0
Ermax A/S,"Vranderupvej 2, 6000 Kolding",Kolding,01.07.1991,23.0,Lille,Aktieselskab,15277335,5.0,24417000.0,DKK,2023.0,0,0,29,,0.0,0.0,1.0
