Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Forarbejdning og færdigbearbejdning af træ,Udsavning og høvling af træ,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt,"Fremstilling af andre trævarer og varer af kork, strå og flettematerialer",Fremstilling af døre og vinduer af træ,Færdigbearbejdning af trævarer,Fremstilling af sammensatte parketstave,Fremstilling af fast brændsel på basis af vegetabilsk biomasse,Fremstilling af træemballage,Fremstilling af finerplader og træbaserede plader
Con-Redo ApS,"Hovvejen 3, 7323 Give",Vejle,23.04.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40470352,40.0,-16000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CETONIA A/S,"Hedemølle Industrivej 1, 8850 Bjerringbro",Viborg,26.04.2005,56.0,Mellemstor,Aktieselskab,28693079,1.3,9183000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C. KRAG ApS,"Åløkkevej 9, 5560 Aarup",Assens,20.12.1974,1.0,Mikro,Anpartsselskab,50781615,200.0,773000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
North Trade House A/S,"Over Silstrupvej 2, 6933 Kibæk",Herning,01.05.1989,4.0,Mikro,Aktieselskab,13137390,500.0,2855000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fårbæk Biomasse ApS,"Karupvej 30, 7470 Karup J",Viborg,23.09.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43543377,40.0,-6000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Replant Art ApS,"Langelinie Allé 17, 2100 København Ø",København,03.05.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42356751,40.0,295000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dansk Træelement A/S,"Ole Rømers Vej 29, 6760 Ribe",Esbjerg,02.06.2023,10.0,Lille,Aktieselskab,44104377,400.0,-5000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J P H TRAPPER A/S,"Foldingbrovej 47, 6650 Brørup",Vejen,30.06.1978,9.0,Mikro,Aktieselskab,87612619,600.0,3787000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORLUND A/S,"Conradsminde 23, 9610 Nørager",Rebild,03.05.2000,43.0,Lille,Aktieselskab,25357752,2.1,21349000.0,DKK,2024.0,1,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARNES A/S,"Håndværkervej 34, 9320 Hjallerup",Brønderslev-Dronninglund,15.11.1974,21.0,Lille,Aktieselskab,50737616,500.0,9270000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KasseFabrikanten ApS,"Klokkestøbervej 10 C, 8800 Viborg",Viborg,12.05.2021,5.0,Mikro,Anpartsselskab,42381527,40.0,368000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Frameless Wood ApS,"Jernbanegade 8 2, 6000 Kolding",Kolding,16.07.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41525207,40.0,20000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRE-TRÆ. HOLSTEBRO A/S,"Nybo Høje 10-14, 7500 Holstebro",Holstebro,20.11.1985,29.0,Lille,Aktieselskab,10049377,1.0,8092000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roust Element A/S,"Tinggårdsvej 8, 6818 Årre",Varde,24.09.2013,156.0,Mellemstor,Aktieselskab,35480188,2.0,74133000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TINGSTED SAVVÆRK & EMBALLAGE ApS,"Segenvej 22, 3700 Rønne",Bornholm,22.11.2004,8.0,Mikro,Anpartsselskab,28279965,125.0,4078000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rêve vert ApS,"Rådhusvej 1, 2920 Charlottenlund",Gentofte,03.01.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43756354,40.0,-151000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MM MØBLER ApS,"Dominovej 30 st 2, 7500 Holstebro",Holstebro,01.10.1986,3.0,Mikro,Anpartsselskab,10404746,145.0,1677000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Them Savværk ApS,"Julsøvej 37 B, 8600 Silkeborg",Silkeborg,20.02.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43069713,40.0,-154000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMGAARD TIMBER ApS,"Scheelsvej 5, 4733 Tappernøje",Næstved,28.09.2000,5.0,Mikro,Anpartsselskab,25644573,125.0,2285000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VITTRUP TRÆEMB. & TRANSPORT A/S,"Strandparken 2, 9640 Farsø",Vesthimmerland,29.03.2010,2.0,Mikro,Aktieselskab,32300898,500.0,676000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MARTINS TØMRERFORRETNING ApS,"Åvej 1, 8240 Risskov",Århus,25.03.2011,1.0,Mikro,Anpartsselskab,33582277,83.0,514000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WoodByLaa ApS,"Gyldenrisdalen 2, 8930 Randers NØ",Randers,04.02.2019,2.0,Mikro,Anpartsselskab,40228799,50.0,422000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WOODWELL ApS,"Industriskellet 2, 8700 Horsens",Horsens,15.05.1984,2.0,Mikro,Anpartsselskab,76062110,200.0,702000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bjerring Hede Invest ApS,"Voldbjergvej 2 st, 8240 Risskov",Århus,06.04.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39497670,50.0,1682000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oksbøl Savværk 2020 ApS,"Borrevej 31, 6840 Oksbøl",Varde,15.06.2020,12.0,Lille,Anpartsselskab,41436123,2.2,4307000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vildbjerg Træ og Design ApS,"Smækbjergvej 10, 7480 Vildbjerg",Herning,08.02.2021,4.0,Mikro,Anpartsselskab,42105546,40.0,126000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PEDER ØSTERGAARD & SØN TRANSPORT A/S,"Kjeldsigvej 2, 7430 Ikast",Ikast-Brande,26.08.1996,16.0,Lille,Aktieselskab,19458539,500.0,18698000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TØMRER- & SNEDKERFIRMA ARNE DANIELSEN A/S,"Borupvej 1, 7330 Brande",Ikast-Brande,03.01.2002,51.0,Mellemstor,Aktieselskab,26398762,500.0,15325000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Træmore ApS,"Koholtvej 49, 4941 Bandholm",Lolland,24.08.2023,2.0,Mikro,Anpartsselskab,44269376,40.0,313000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Havnens hænder ApS,"Refshalevej 165 C, 1432 København K",København,02.05.2019,3.0,Mikro,Anpartsselskab,40489312,67.0,1047000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BØLLEMOSEN DØRE & VINDUER A/S,"Nyborgvej 33, 5772 Kværndrup",Faaborg-Midtfyn,28.04.2006,9.0,Mikro,Aktieselskab,29521948,500.0,3692000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CNC-Works ApS,"Tinghøjvej 6, 3650 Ølstykke",Egedal,25.11.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41885238,40.0,-24000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEX-LINE DK ApS,"Drammelstrupvej 2, 8961 Allingåbro",Norddjurs,25.06.2001,3.0,Mikro,Anpartsselskab,26098386,125.0,1515000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K W CASES A/S,"Navergangen 12, 2690 Karlslunde",Greve,01.05.1987,5.0,Mikro,Aktieselskab,10806577,500.0,3149000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Massive Douglas Denmark/ReBlock ApS,"Østerløkke 1 A, 6091 Bjert",Kolding,01.03.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40307923,40.0,133000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HORNBAEK A/S,"Bogensevej 7, 8940 Randers SV",Randers,25.03.1982,48.0,Lille,Aktieselskab,31416213,14.0,36765000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-IT ApS,"Grenåvej 26, 8960 Randers SØ",Randers,10.01.2006,5.0,Mikro,Anpartsselskab,29244235,125.0,3932000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ramme Træpiller ApS,"Krogsgårdvej 2, 6990 Ulfborg",Holstebro,15.06.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36923520,50.0,275000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
N.K. Skovservice ApS,"Gedhusvej 4, 7451 Sunds",Herning,30.06.2017,2.0,Mikro,Anpartsselskab,38767747,50.0,391000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obbekjær Vinduer A/S,"Gl Landevej 14, 6760 Ribe",Esbjerg,01.04.1987,35.0,Lille,Aktieselskab,10627206,500.0,21059000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Snedkermester Gunner Gjermandsen ApS,"Hovdiget 16, 8722 Hedensted",Hedensted,20.11.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43656333,40.0,496000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Holbæk Elementfabrik ApS,"Roholmsvej 8, 2620 Albertslund",Albertslund,14.12.2018,1.0,Mikro,Anpartsselskab,40127313,50.0,-363000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK LAGER ApS,"Kokmose 2, 6000 Kolding",Kolding,01.06.2011,8.0,Mikro,Anpartsselskab,33752377,80.0,1910000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JYSK TAVLEMONTAGE ApS,"Vestergade 38, 8990 Fårup",Randers,20.04.2001,2.0,Mikro,Anpartsselskab,26004691,200.0,383000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U.D. VINDUER A/S,"Vestergade 22, 8860 Ulstrup",Favrskov,01.07.1982,40.0,Lille,Aktieselskab,70696916,500.0,15649000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Esben Duedahl Ejendomme ApS,"Jørgasvej 9, 7120 Vejle Øst",Vejle,01.07.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39703742,50.0,51000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HJALLERUP TRÆ OG SPÆRFABRIK A/S,"Håndværkervej 36, 9320 Hjallerup",Brønderslev-Dronninglund,29.09.1997,9.0,Mikro,Aktieselskab,20419245,2.31,3735000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HANS LARSENS SAVVÆRK & TRÆLAST A/S,"Lillevang 3, 3650 Ølstykke",Egedal,10.03.2000,5.0,Mikro,Aktieselskab,25261771,500.0,1698000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUNDUM SAVVÆRK ApS,"Torpvej 59, 8700 Horsens",Horsens,25.06.1997,Ikke oplyst,Ikke oplyst,Anpartsselskab,20119888,200.0,4000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S OTTO B. CHRISTENSEN. ØRSØ,"Dorfvej 4, 9330 Dronninglund",Brønderslev-Dronninglund,12.02.1973,4.0,Mikro,Aktieselskab,40684611,600.0,1274000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hyphen-- ApS,"Farvervej 40, 7490 Aulum",Herning,30.06.2022,4.0,Mikro,Anpartsselskab,43363662,53.0,169000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HJALLERUP TRÆINDUSTRI ApS,"Toppen 4, 7950 Erslev",Morsø,11.10.1996,3.0,Mikro,Anpartsselskab,19632644,125.0,2566000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxvinduer ApS,"Jernbanegade 4 1, 5000 Odense C",Odense,15.09.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38944924,50.0,-113000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VJTE ApS,"Drejervej 11, 7490 Aulum",Herning,27.05.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40547371,50.0,648000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Vestkvisten ApS,"Toldhusvej 12, 6900 Skjern",Ringkøbing-Skjern,29.11.2021,2.0,Mikro,Anpartsselskab,42887447,50.0,1308000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELA ApS,"Foldingbrovej 1 A, 6670 Holsted",Vejen,13.11.2001,1.0,Mikro,Anpartsselskab,26335396,80.0,1053000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BV-Trappen A/S,"Følhøjvej 3, 7752 Snedsted",Thisted,07.01.2016,34.0,Lille,Aktieselskab,37349127,500.0,20412000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HANS HENNING NIELSEN A/S,"Gammelgårdsvej 75, 3520 Farum",Furesø,01.04.1984,55.0,Mellemstor,Aktieselskab,73640210,500.0,27834000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G & C INTERIORS A/S,"Ellekær 2-4, 2730 Herlev",Herlev,15.10.1976,11.0,Lille,Aktieselskab,59452819,6.0,3558000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VAHLE A/S,"Fabriksvej 5, 8544 Mørke",Syddjurs,04.06.2012,42.0,Lille,Aktieselskab,34587051,1.0,19141000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LAPITO ApS,"Kappelev Alle 2, 2670 Greve",Greve,18.11.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,25132831,80.0,-215000.0,DKK,2023.0,1,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JYDSK RAMME- OG LISTEFABRIK ApS,"Absalonsgade 31 B st, 8000 Aarhus C",Århus,29.12.1978,4.0,Mikro,Anpartsselskab,85206818,200.0,2061000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREJLEV SNEDKERVÆRKSTED ApS,"Nørrevej 37, 4892 Kettinge",Guldborgsund,02.08.2010,1.0,Mikro,Anpartsselskab,33072287,80.0,143000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HELIMESH A/S,"Bavne Alle 2 E, 8370 Hadsten",Favrskov,10.08.2009,1.0,Mikro,Aktieselskab,32361749,500.0,583000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alushop ApS,"Hvedemarken 2, 3650 Ølstykke",Egedal,17.12.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42925047,40.0,0.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rigvi ApS,"Vilstrup Næsvej 71, 6100 Haderslev",Haderslev,28.02.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40297731,50.0,181000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skive Savværk ApS,"Herningvej 34, 7800 Skive",Skive,10.03.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42217255,40.0,50000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P. A. SAVVÆRK. KORINTH A/S,"Kaj Lykkesvej 13, 5600 Faaborg",Faaborg-Midtfyn,28.11.1979,31.0,Lille,Aktieselskab,87124118,500.0,18392000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAGERUP SAVVÆRK A/S,"Kagerup Stationsvej 59, 3200 Helsinge",Gribskov,04.11.1908,2.0,Mikro,Aktieselskab,43967711,500.0,-8000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WoodsUp ApS,"Vibevej 20, 4040 Jyllinge",Roskilde,11.07.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37869376,50.0,201000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TOP-WOOD INDUSTRI ApS,"Fabriksvej 20, 9550 Mariager",Mariagerfjord,15.06.1987,Ikke oplyst,Ikke oplyst,Anpartsselskab,11125247,299.0,231000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KÅG ApS,"Voldbjergvej 16 2 th, 8240 Risskov",Århus,26.06.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30896580,1.645,1256000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PL OVERFLADEBEHANDLING ApS,"Nedre Vej 104, 8930 Randers NØ",Randers,13.10.2004,1.0,Mikro,Anpartsselskab,28148240,125.0,505000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRESE & CO. ApS,"H.C. Ørsteds Vej 39 A, 1879 Frederiksberg C",Frederiksberg,30.06.2016,2.0,Mikro,Anpartsselskab,37874175,50.0,1462000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rancase ApS,"Pramvej 5 C, 8940 Randers SV",Randers,23.12.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42929174,40.0,284000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TAGE LAURSEN ApS,"Fyrrely 17, 7451 Sunds",Herning,28.06.2001,16.0,Lille,Anpartsselskab,26107105,50.0,7049000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CAPELLA LOUNGE APS,"Vilhelmsro 305, 3480 Fredensborg",Fredensborg,22.12.2006,7.0,Mikro,Anpartsselskab,30176693,125.0,1635000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larrys ApS,"Hillerødgade 158, 2400 København NV",København,24.06.2016,1.0,Mikro,Anpartsselskab,37834807,50.0,310000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jørgensen & Jørgensen ApS,"Ravnsbjergvej 42, 4560 Vig",Odsherred,14.06.2017,1.0,Mikro,Anpartsselskab,38713671,50.0,914000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST. HJØLLUND SAVVÆRK ApS,"Lykkegårdsvej 299, 8472 Sporup",Favrskov,29.08.2005,Ikke oplyst,Ikke oplyst,Anpartsselskab,28979266,125.0,1593000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRØGUM-SVARRE A/S,"Industrivej 1, 6840 Oksbøl",Varde,17.02.2011,42.0,Lille,Aktieselskab,33500238,500.0,21214000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
I-Wood Denmark ApS,"Fabriksvej 4, 6973 Ørnhøj",Herning,01.11.2016,14.0,Lille,Anpartsselskab,38152416,90.0,8581000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VINDELEV BLINDRAMMEFABRIK ApS,"Banevej 6, 7160 Tørring",Hedensted,11.06.1992,10.0,Lille,Anpartsselskab,16157775,210.0,1855000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hammer og Høvl ApS,"Humlebækvej 31, 3480 Fredensborg",Fredensborg,14.02.2018,1.0,Mikro,Anpartsselskab,39336065,50.0,127000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYGGEFIRMAET OVE JENSEN A/S,"Rørhaven 3, 7100 Vejle",Vejle,01.07.2004,22.0,Lille,Aktieselskab,27927327,500.0,13040000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fog & Venø A/S,"Buntmagervej 5, 7490 Aulum",Herning,01.09.2011,76.0,Mellemstor,Aktieselskab,33880464,5.0,56586000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DENFI SPORT ApS,"Lillevangsvej 6, 3700 Rønne",Bornholm,01.10.2007,4.0,Mikro,Anpartsselskab,30904559,125.0,4406000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jensens Brændefirma ApS,"Ahornvej 20, 6800 Varde",Varde,02.01.2019,14.0,Lille,Anpartsselskab,40139176,67.0,1594000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TØMRERMESTER IVAN ØSTERGAARD JENSEN A/S,"Urbakkevej 12 A, 8450 Hammel",Favrskov,16.12.1991,8.0,Mikro,Aktieselskab,15853387,500.0,3820000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FYNS PRODUKTION ApS,"Gl. Byvej 46, 5792 Årslev",Faaborg-Midtfyn,01.06.1985,Ikke oplyst,Ikke oplyst,Anpartsselskab,10053838,200.0,121000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VM FLAG & STÆNGER A/S,"Stenbro Allè 5, 6650 Brørup",Vejen,15.04.1984,7.0,Mikro,Aktieselskab,73707218,500.0,3083000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SØNDERBY TRÆINDUSTRI ApS,"Gludvej 38, 7130 Juelsminde",Hedensted,06.02.1997,6.0,Mikro,Anpartsselskab,19887545,160.0,1126000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NIMA HALM ApS,"Bruuns Plantage Vej 1, 8970 Havndal",Randers,11.08.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31624312,125.0,4438000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Planet Produktion A/S,"Ørstedsvej 55, 6760 Ribe",Esbjerg,03.12.2020,38.0,Lille,Aktieselskab,41917318,7.6,13954000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hjemmelavede ApS,"Borupvej 35, 4140 Borup",Køge,03.09.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42654043,40.0,-120000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freseriet ApS,"Møngevej 39, 3210 Vejby",Gribskov,13.07.2016,2.0,Mikro,Anpartsselskab,37874353,50.0,518000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL EMBALLAGE A/S,"Solvang 25, 3450 Allerød",Allerød,01.05.1988,Ikke oplyst,Ikke oplyst,Aktieselskab,12342640,500.0,-223000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
INTERNATIONAL HOUSE OF DENMARK ApS,"Snerlevej 4, 4000 Roskilde",Roskilde,01.04.2000,5.0,Mikro,Anpartsselskab,25293517,125.0,8000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J K PAVILLONER ApS,"Nydamsvej 3, 6040 Egtved",Vejle,13.11.1995,18.0,Lille,Anpartsselskab,18912333,200.0,12853000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYSK TRÆFLIS ApS,"Gammelbyvej 33, 7323 Give",Vejle,19.04.2007,7.0,Mikro,Anpartsselskab,30577221,125.0,12208000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LILLEBÆK & CO.. ØST. EMBALLERING ApS,"Havremarken 2, 3650 Ølstykke",Egedal,01.09.1977,7.0,Mikro,Anpartsselskab,82060812,200.0,4050000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
