Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Forarbejdning og færdigbearbejdning af træ,Udsavning og høvling af træ,Fremstilling af bygningstømmer og snedkeriartikler i øvrigt,"Fremstilling af andre trævarer og varer af kork, strå og flettematerialer",Fremstilling af døre og vinduer af træ,Færdigbearbejdning af trævarer,Fremstilling af sammensatte parketstave,Fremstilling af fast brændsel på basis af vegetabilsk biomasse,Fremstilling af træemballage,Fremstilling af finerplader og træbaserede plader
ACHIEVERS HOLDING ApS,"Sortbærvej 93, 8600 Silkeborg",Silkeborg,21.11.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,31083699,125.0,-20000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYTAS A/S,"Århusvej 211, 8464 Galten",Skanderborg,01.03.1998,113.0,Mellemstor,Aktieselskab,20763647,6.2,75335000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bødkeriet A/S,"Idomvej 70, 7500 Holstebro",Holstebro,26.06.2017,27.0,Lille,Aktieselskab,38748882,500.0,15831000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HTM COMPONENT ApS,"Sandvigvej 3-5, 7400 Herning",Herning,01.01.1993,25.0,Lille,Anpartsselskab,16707503,650.0,8832000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Brabrand Fineringscentral ApS,"J.P. Larsens Vej 17 A, 8220 Brabrand",Århus,27.06.2017,4.0,Mikro,Anpartsselskab,38747703,50.0,987000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DK Elements A/S,"Stenderupvej 183, 6092 Sønder Stenderup",Kolding,09.12.2022,19.0,Lille,Aktieselskab,43727699,625.0,-2002000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lignum ApS,"Fruens Bøge Allé 22, 5250 Odense SV",Odense,12.01.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38328654,50.0,1000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Thy-Maskinsnedkeri ApS,"Vestermarken 8, 7950 Erslev",Morsø,04.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40907882,40.0,208000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADAPTEO A/S,"Greve Main 33, 2670 Greve",Greve,02.04.1969,43.0,Lille,Aktieselskab,11033911,11.0,242863000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MADSEN VINDUER & DØRE ApS,"Industrivej 31, 9310 Vodskov",Aalborg,11.06.1986,16.0,Lille,Anpartsselskab,10271940,201.0,6115000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FRØSLEV TRÆ A/S,"Jens P. L. Petersens Vej 1, 6330 Padborg",Aabenraa,01.06.1990,146.0,Mellemstor,Aktieselskab,14248331,500.0,17355000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planet Living A/S,"Ørstedsvej 55, 6760 Ribe",Esbjerg,23.04.2019,2.0,Mikro,Aktieselskab,40485813,30.0,2366000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYGHOLM MASKINSNEDKERI A/S,"Vågøvej 6, 8700 Horsens",Horsens,20.05.1977,25.0,Lille,Aktieselskab,81124728,510.0,10101000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RUPINI A/S,"Vilvordevej 47 A, 2920 Charlottenlund",Gentofte,06.07.1987,Ikke oplyst,Ikke oplyst,Aktieselskab,10920590,500.0,-5000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vindunor A/S,"Ålborgvej 86, 9800 Hjørring",Hjørring,03.12.2020,178.0,Mellemstor,Aktieselskab,41920785,11.0,102623000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ODENSE TRÆFORARBEJDNING ApS,"Gøteborggade 12, 5000 Odense C",Odense,29.11.2013,9.0,Mikro,Anpartsselskab,25146964,80.0,3499000.0,DKK,2023.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIM TRÆINDUSTRI A/S,"Svensgaardvej 11, 6980 Tim",Ringkøbing-Skjern,15.06.1979,5.0,Mikro,Aktieselskab,86737612,500.0,4939000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dahl Jensen ApS,"Audebovej 16, 4300 Holbæk",Holbæk,08.11.2022,1.0,Mikro,Anpartsselskab,43632337,40.0,122000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRKE HØRUP SAVVÆRK OG PALLEFABRIK A/S,"Kirke Hørupvej 19, 6470 Sydals",Sønderborg,22.12.1993,3.0,Mikro,Aktieselskab,17501976,501.0,342000.0,DKK,2024.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Varming Savværk ApS,"Varming Vesterby 2 C, 6760 Ribe",Esbjerg,13.05.2020,13.0,Lille,Anpartsselskab,41401109,40.0,3862000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
THORS DESIGN ApS,"Møltrupvej 29, 7480 Vildbjerg",Herning,01.06.1997,8.0,Mikro,Anpartsselskab,20177330,150.0,3286000.0,DKK,2024.0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPPLY CHAIN TURNAROUND Aps,"Fortgård Alle 56, 2770 Kastrup",Tårnby,26.08.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40746110,50.0,-2000.0,DKK,2023.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Guldborg Legepladser ApS,"Ulvevej 25, 4622 Havdrup",Solrød,25.08.2021,9.0,Mikro,Anpartsselskab,42624713,40.0,4323000.0,DKK,2024.0,0,0,16,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SERRIDSLEV TRÆINDUSTRI A/S,"Nebelvej 37, 8700 Horsens",Horsens,08.09.2006,8.0,Mikro,Aktieselskab,29849900,600.0,21526000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordsjælland Designmontering ApS,"Fredskovvej 7, 2840 Holte",Rudersdal,20.10.2016,1.0,Mikro,Anpartsselskab,38122908,40.0,-432000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryborg Tømrer ApS,"Hedeskovvej 20, 8520 Lystrup",Århus,18.05.2022,2.0,Mikro,Anpartsselskab,43268457,40.0,866000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERFECTUM ApS,"Voldbjergvej 16 st tv, 8240 Risskov",Århus,14.07.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34617317,80.0,-842000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.H. INDUSTRI A/S,"Smedevej 17, 7430 Ikast",Ikast-Brande,01.11.1987,126.0,Mellemstor,Aktieselskab,11567436,1.0,65920000.0,DKK,2023.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JYDSK BLINDRAMMEFABRIK A/S,"Møgelhøj 12, 8520 Lystrup",Århus,28.06.1999,25.0,Lille,Aktieselskab,21788988,600.0,17336000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RINGSTED SPÆRFABRIK A/S,"Balstrupvej 107 B, 4100 Ringsted",Ringsted,22.08.2003,3.0,Mikro,Aktieselskab,27324363,1.0,20325000.0,DKK,2023.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dnora A/S,"Industrivej 17, 3200 Helsinge",Gribskov,19.04.2021,Ikke oplyst,Ikke oplyst,Aktieselskab,42317748,400.0,32000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB-DØRE OG VINDUER ApS,"Saksholmvej 26, 4733 Tappernøje",Næstved,17.12.2002,6.0,Mikro,Anpartsselskab,26915201,125.0,1937000.0,DKK,2024.0,0,0,16,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A.V. JEPPESEN TØMRER- OG SNEDKER- MESTRE A/S,"Mandal Alle 4, 5500 Middelfart",Middelfart,01.09.1989,18.0,Lille,Aktieselskab,13437874,500.0,7702000.0,DKK,2024.0,0,0,16,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grønagergård Savværk A/S,"Sminge Møllevej 20, 8883 Gjern",Silkeborg,28.06.2018,60.0,Mellemstor,Aktieselskab,39715155,500.0,36925000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steenager Service ApS,"Møldrupvej 50, 9510 Arden",Mariagerfjord,10.01.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40166955,50.0,13000.0,DKK,2023.0,0,0,16,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
