Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling og bearbejdning af andet glas, herunder teknisk glas",Fremstilling af andre keramiske produkter,"Fremstilling af flasker, drikkeglas mv.",Fremstilling af keramiske husholdningsartikler og pyntegenstande,Fremstilling af byggematerialer af beton,Fremstilling af cement,Fremstilling af færdigblandet beton,Fremstilling af glasfiber,Fremstilling af keramiske teglsten og gulvfliser,"Fremstilling af andre produkter af beton, cement og gips",Fremstilling af asfalt og tagpap,"Fremstilling af mursten, teglsten og byggematerialer af brændt ler",Fremstilling af byggematerialer af gips,Fremstilling af keramiske isolatorer og isoleringsdele,Formning og forarbejdning af planglas,Fremstilling af ildfaste produkter,"Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap",Fremstilling af keramiske sanitetsartikler,Fremstilling af kalk og gips,"Tilhugning, tilskæring og færdigbearbejdning af sten",Fremstilling af mørtel,Fremstilling af planglas,Fremstilling af slibemidler,Fremstilling af andre keramiske produkter til teknisk brug,Fremstilling af fibercement
Leca Danmark A/S,"Randersvej 75, 8940 Randers SV",Randers,01.01.2017,83.0,Mellemstor,Aktieselskab,38317962,510.0,18138000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stenkjær ApS,"Bjerrevej 211, 8700 Horsens",Horsens,30.05.2018,6.0,Mikro,Anpartsselskab,39615983,60.0,3351000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bornholms Keramikfabrik ApS,"Gl Rønnevej 17 D, 3730 Nexø",Bornholm,29.01.2019,14.0,Lille,Anpartsselskab,40232435,50.0,3131000.0,DKK,2024.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VESTEN HOLDING A/S,"Vandmøllevej 1, 6400 Sønderborg",Sønderborg,07.04.2000,Ikke oplyst,Ikke oplyst,Aktieselskab,25306031,1.0,-63000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAADVAD STENHUGGERI A/S,"Stæremosen 42, 3250 Gilleleje",Gribskov,23.06.2003,32.0,Lille,Aktieselskab,27411150,400.0,17647000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MARTIN BILLESCHOU ApS,"Kvaglundvej 94, 6705 Esbjerg Ø",Esbjerg,23.12.1975,15.0,Lille,Anpartsselskab,22929518,500.0,6073000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UCOMPOSITES A/S,"Ålborgvej 29, 4793 Bogø By",Vordingborg,01.06.2008,18.0,Lille,Aktieselskab,31498856,728.0,17998000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIEBE ApS,"Bülowsvej 2, 1870 Frederiksberg C",Frederiksberg,28.11.2014,1.0,Mikro,Anpartsselskab,36447702,50.0,404000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANSK ISOLER GLAS ApS,"Omøgade 16-18, 2100 København Ø",København,09.12.1955,Ikke oplyst,Ikke oplyst,Anpartsselskab,55163014,400.0,390000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRDR Bergmann ApS,"Damhusvænget 18, 2990 Nivå",Fredensborg,08.04.2019,7.0,Mikro,Anpartsselskab,40427430,40.0,4082000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VEERST MØRTELVÆRK ApS,"Lykkegårdsvej 7, 6600 Vejen",Vejen,02.03.1983,4.0,Mikro,Anpartsselskab,73190428,125.0,847000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MADE A MANO ApS,"Sturlasgade 14 D, 2300 København S",København,18.03.2005,4.0,Mikro,Anpartsselskab,28514182,130.0,3054000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAINT-GOBAIN Denmark A/S,"Robert Jacobsens Vej 62 A, 2300 København S",København,09.03.1939,401.0,Stor,Aktieselskab,59983016,140.38,104984000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LÆSØ BYG & ENTREPRENØR ApS,"Søndergårdsvej 12, 9940 Læsø",Læsø,06.08.2013,8.0,Mikro,Anpartsselskab,35409270,80.0,6074000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LiqTech Ceramics A/S,"Industriparken 22 C, 2750 Ballerup",Ballerup,20.12.2019,35.0,Lille,Aktieselskab,41038071,5.0,13252000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KROGHS A/S,"Klim Strandvej 284, 9690 Fjerritslev",Jammerbugt,24.01.1966,22.0,Lille,Aktieselskab,45571513,1.694,22117000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peab Asfalt A/S,"Nørreskov Bakke 1, 8600 Silkeborg",Silkeborg,01.01.1995,351.0,Stor,Aktieselskab,18298503,92.75,88029000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Den Bette Stenhugger ApS,"Volsted Bygade 23, 9530 Støvring",Rebild,27.09.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38039318,40.0,390000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hampbyg ApS,"Kastrupvej 5, 8960 Randers SØ",Randers,07.03.2019,2.0,Mikro,Anpartsselskab,40325182,40.0,-71000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CARSTEN BENDIX PEDERSEN ApS,"Ringstedvej 174 A, 4300 Holbæk",Holbæk,26.03.2013,7.0,Mikro,Anpartsselskab,32317979,80.0,4522000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ROCKWOOL Danmark A/S,"Hovedgaden 501, 2640 Hedehusene",Høje-Taastrup,15.08.1941,555.0,Stor,Aktieselskab,42391719,457.458,412219000.0,DKK,2023.0,1,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROSKILDE STENHUGGERI ApS,"Kong Valdemars Vej 3, 4000 Roskilde",Roskilde,26.06.2009,2.0,Mikro,Anpartsselskab,32275117,125.0,1303000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E. NIELSENS MEKANISKE STENHUGGERI A/S,"Industriholmen 21, 2650 Hvidovre",Hvidovre,25.10.1994,19.0,Lille,Aktieselskab,18105632,700.0,18344000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
