Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Smedning og valsning af metal samt pulvermetallurgi,Maskinforarbejdning af metal,Fremstilling af håndværktøj,Fremstilling af andre færdige metalprodukter i.a.n.,Overfladebehandling af metal,Fremstilling af metalkonstruktioner og dele heraf,Fremstilling af døre og vinduer af metal,Fremstilling af andre tanke og beholdere af metal,Fremstilling af våben og ammunition,Fremstilling af låse og hængsler,"Fremstilling af bestik, skære- og klipperedskaber","Fremstilling af trådvarer, kæder og fjedre","Fremstilling af lukkeanordninger, bolte, skruer og møtrikker",Fremstilling af metaltønder og lignende beholdere,Fremstilling af letmetalemballage,Varmebehandling af metal,"Fremstilling af radiatorer, damp- og fyringskedler til centralvarmeanlæg"
VN Steel ApS,"Jyllandsvej 9, 7330 Brande",Ikast-Brande,30.06.2000,9.0,Mikro,Anpartsselskab,25555678,304.0,3266000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIPLAN INTERNATIONAL A/S,"Industriskellet 12-14, 2635 Ishøj",Ishøj,29.12.1992,63.0,Mellemstor,Aktieselskab,16664081,10.0,32047000.0,DKK,2024.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS Steel A/S,"Dybvighovedvej 34, 6200 Aabenraa",Aabenraa,02.12.2021,12.0,Lille,Aktieselskab,42892025,500.0,4402000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HETO DAN ApS,"Nøragervej 3, 9740 Jerslev J",Brønderslev-Dronninglund,03.06.2008,2.0,Mikro,Anpartsselskab,31747546,125.0,1017000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL INDUSTRIES A/S,"Kærvej 23, 8722 Hedensted",Hedensted,31.01.2011,12.0,Lille,Aktieselskab,33495544,500.0,15129000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JS MONTAGE ApS,"Tommelisevej 8, 9700 Brønderslev",Brønderslev-Dronninglund,02.07.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14347275,200.0,-11000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluflam Facader A/S,"Rønhøjvej 25, 8300 Odder",Odder,20.05.2000,2.0,Mikro,Aktieselskab,25442032,500.0,2084000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMI SERVICE ApS,"Banegraven 8, 3550 Slangerup",Frederikssund,21.05.2010,1.0,Mikro,Anpartsselskab,32939015,80.0,151000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK PORT ApS,"Langballe 9, 8700 Horsens",Horsens,29.01.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41127511,50.0,14000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKÆRBÆK ApS,"Ved Stranden 5, 4780 Stege",Vordingborg,15.04.2000,23.0,Lille,Anpartsselskab,25326598,125.0,3546000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEMPO-KROM ApS,"Andantevej 1, 2730 Herlev",Herlev,03.07.2017,5.0,Mikro,Anpartsselskab,38774743,50.0,2249000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANTECH A/S,"Stormgade 8, 3390 Hundested",Halsnæs,01.09.1982,Ikke oplyst,Ikke oplyst,Aktieselskab,69757928,1.0,-284000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniban ApS,"Fabriksvej 27, 6920 Videbæk",Ringkøbing-Skjern,21.02.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38432192,50.0,-9000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEOKA A/S,"Borgergade 43, 9620 Aalestrup",Vesthimmerland,01.04.1977,15.0,Lille,Aktieselskab,80734719,500.0,1460000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metalkompagniet ApS,"Havemarksvej 1, 4690 Haslev",Faxe,03.09.2020,5.0,Mikro,Anpartsselskab,41656069,40.0,4201000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDERSSON & SØRENSEN A/S,"Industrigrenen 11, 2635 Ishøj",Ishøj,03.12.1979,23.0,Lille,Aktieselskab,87993213,1.5,12506000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tejn Smedeforretning ApS,"Industrivej 8, 3770 Allinge",Bornholm,21.11.2016,11.0,Lille,Anpartsselskab,38207288,50.0,2977000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnikStål ApS,"Ourøgade 30 2 tv, 2100 København Ø",København,18.10.2019,1.0,Mikro,Anpartsselskab,40872930,40.0,-10000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BONNET MASKINFABRIK A/S,"Store Bonnetvej 3, 7620 Lemvig",Lemvig,21.06.1999,19.0,Lille,Aktieselskab,21780030,500.0,16015000.0,DKK,2023.0,1,0,25,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMS TEKNIK A/S,"Smedevej 5, 7190 Billund",Billund,29.01.2008,19.0,Lille,Aktieselskab,31250196,500.0,17632000.0,DKK,2024.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K.S. Smede og Montage A/S,"Rugvænget 36, 2630 Taastrup",Høje-Taastrup,19.06.2018,14.0,Lille,Aktieselskab,39658941,500.0,11658000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ÅLSBO SMEDIE OG VVS ApS,"Ålsbovej 12-14, 5560 Aarup",Assens,30.06.1987,2.0,Mikro,Anpartsselskab,10981492,200.0,1020000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMEDEN I SÆBY. BRAMSNÆS VVS. ApS,"Smedestræde 1, 4070 Kirke Hyllinge",Lejre,12.04.1978,Ikke oplyst,Ikke oplyst,Anpartsselskab,83759313,125.0,2000.0,DKK,2024.0,0,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VP Maskinfabrik A/S,"Smedebakken 12, 8700 Horsens",Horsens,30.06.1976,22.0,Lille,Aktieselskab,58483419,1.2,14063000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALU DESIGN A/S,"Nyholms Alle 23, 2610 Rødovre",Rødovre,15.03.1979,6.0,Mikro,Aktieselskab,87186415,500.0,3993000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIO STÅL ODENSE A/S,"Herluf Trolles Vej 14, 5220 Odense SØ",Odense,01.12.1989,24.0,Lille,Aktieselskab,13697477,1.5,17290000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAJLUND SMEDE- OG MASKINFABRIK ApS,"Høegh Guldbergs Gade 40, 8700 Horsens",Horsens,24.03.1977,12.0,Lille,Anpartsselskab,80884419,200.0,4331000.0,DKK,2024.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damgaard Metal A/S,"Birkegårdsvej 26, 8361 Hasselager",Århus,12.04.1995,87.0,Mellemstor,Aktieselskab,18540576,500.0,38869000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruta ApS,"Nibevej 64, 9530 Støvring",Rebild,11.12.2019,2.0,Mikro,Anpartsselskab,41024224,40.0,376000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EME Hydraulic ApS,"Ellegårdvej 1 A, 6400 Sønderborg",Sønderborg,12.09.2016,14.0,Lille,Anpartsselskab,38002627,51.0,6930000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advance Global A/S,"Møllerupvej 24, 8410 Rønde",Syddjurs,09.06.2004,Ikke oplyst,Ikke oplyst,Aktieselskab,27912257,500.0,-37000.0,DKK,2023.0,0,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANSTOKER A/S,"Industrivej Nord 13, 7400 Herning",Herning,13.04.1992,122.0,Mellemstor,Aktieselskab,16147249,10.001,54712000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Combi Engineering A/S,"Fabriksvej 12, 6000 Kolding",Kolding,12.07.2023,Ikke oplyst,Ikke oplyst,Aktieselskab,44182858,400.0,3394000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEINERTZ A/S AF 1962,"Sverigesvej 16, 8700 Horsens",Horsens,01.07.1981,14.0,Lille,Aktieselskab,67147219,1.2,10020000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CPH STEEL A/S,"Vesterlundvej 5, 2730 Herlev",Herlev,26.09.2008,62.0,Mellemstor,Aktieselskab,31767024,500.0,31219000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S P. K. JEPPESEN OG SØN. NÆSTVED,"Kornbuen 2, 4700 Næstved",Næstved,30.01.1971,85.0,Mellemstor,Aktieselskab,37184810,500.0,39227000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPOUL ApS,"Lillevangsvej 6, 3700 Rønne",Bornholm,17.08.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,27988806,125.0,-29000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaj Sørensens Maskinservice ApS,"Bredstrupvej 44, 8500 Grenaa",Norddjurs,04.10.2022,3.0,Mikro,Anpartsselskab,43556258,40.0,1498000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHS MASKINFABRIK A/S,"Holmbladsvej 13, 8600 Silkeborg",Silkeborg,21.04.1977,28.0,Lille,Aktieselskab,81122717,1.0,13778000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
P. SCHWEDLER INDUSTRIEL LAKERING ApS,"Søndre Strandvej 13 A, 2680 Solrød Strand",Solrød,26.06.1985,Ikke oplyst,Ikke oplyst,Anpartsselskab,78021012,50.0,,nan,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOF FREDERIKSHAVN ApS,"Ralvej 6, 9900 Frederikshavn",Frederikshavn,29.06.1989,4.0,Mikro,Anpartsselskab,13268193,400.0,9851000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JS Steel Consulting ApS,"Vesterballevej 25, 7000 Fredericia",Fredericia,01.09.2005,1.0,Mikro,Anpartsselskab,28985029,500.0,10084000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B&G Industries ApS,"Rådvedvej 95, 8700 Horsens",Horsens,27.01.2022,6.0,Mikro,Anpartsselskab,43013033,40.0,2752000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW-Work ApS,"Jyllandsgade 19, 9600 Aars",Vesthimmerland,29.04.2020,10.0,Lille,Anpartsselskab,41327731,40.0,3978000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakkely Smede- og Maskinfabrik ApS,"Islandsgade 19, 4690 Haslev",Faxe,04.04.2016,15.0,Lille,Anpartsselskab,37586188,50.0,7707000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JSP Maskinfabrik ApS,"Sverigesvej 6, 8450 Hammel",Favrskov,01.07.2017,8.0,Mikro,Anpartsselskab,38760262,50.0,3827000.0,DKK,2023.0,1,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B & E STÅL A/S,"Marathonvej 1, 9230 Svenstrup J",Aalborg,26.01.1977,62.0,Mellemstor,Aktieselskab,81638918,1.5,50436000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEDER HOLLUF PLADEFREMSTILLING ApS,"Hollufgårdsvej 206, 5220 Odense SØ",Odense,29.01.1982,7.0,Mikro,Anpartsselskab,89894417,200.0,3409000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEKIDAN MASKINFABRIK A/S,"Erhvervsvangen 18, 5792 Årslev",Faaborg-Midtfyn,14.12.1986,12.0,Lille,Aktieselskab,10511038,500.0,6534000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JØNI Brandudstyr ApS,"Mølhavevej 1, 9440 Aabybro",Jammerbugt,25.11.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42860441,40.0,178000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LN MASKINER ApS,"Pouls Gyde 6, 5600 Faaborg",Faaborg-Midtfyn,16.01.2006,1.0,Mikro,Anpartsselskab,29246688,40.0,279000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elleskov Smede og Montage ApS,"Bundgårdsvej 8, 8641 Sorring",Silkeborg,06.05.2019,2.0,Mikro,Anpartsselskab,40495568,40.0,737000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HJULBY CNC Turning A/S,"Krogvænget 5, 5800 Nyborg",Nyborg,01.11.1991,8.0,Mikro,Aktieselskab,15672196,670.0,12674000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICHROM A/S,"Gl. Skartved 1, 6091 Bjert",Kolding,26.05.1992,5.0,Mikro,Aktieselskab,16165808,500.0,2714000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Din Portmand ApS,"Ørbækvej 292, 5892 Gudbjerg Sydfyn",Svendborg,01.05.2018,1.0,Mikro,Anpartsselskab,39566001,50.0,732000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H.P. JAKOBSEN A/S,"Grønnevej 137, 2830 Virum",Lyngby-Taarbæk,16.06.1972,1.0,Mikro,Aktieselskab,43931318,600.0,754000.0,DKK,2024.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKS Skælskør Kleinsmedje ApS,"Konge-Åsen 36, 4230 Skælskør",Slagelse,17.04.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41303727,40.0,-14000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VITRAL A/S,"Ådalsvej 99, 2970 Hørsholm",Hørsholm,30.10.1956,Ikke oplyst,Ikke oplyst,Aktieselskab,23136228,5.262,1932000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strauss Industri A/S,"Ellidshøjvej 61, 9230 Svenstrup J",Aalborg,14.03.2007,8.0,Mikro,Aktieselskab,30359313,500.0,5556000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rieks Construction Aps,"Hovedgaden 19, 4261 Dalmose",Slagelse,20.06.2016,5.0,Mikro,Anpartsselskab,37827738,146.0,2896000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAN FLANGER ApS,"Maglehøj Strandvej 62, 4983 Dannemare",Lolland,18.11.1996,1.0,Mikro,Anpartsselskab,20135530,40.0,7000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAN BACH MASKINFABRIK ApS,"Industrivej 20, 4230 Skælskør",Slagelse,28.06.1999,26.0,Lille,Anpartsselskab,24219704,125.0,13847000.0,DKK,2023.0,1,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGESKOV STÅLTEKNIK ApS,"Industrihegnet 18, 4030 Tune",Greve,18.02.2014,2.0,Mikro,Anpartsselskab,35672982,50.0,1399000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBaction ApS,"Hjulmagervej 21, 9490 Pandrup",Jammerbugt,26.10.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33253486,80.0,-417000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOT STEEL COATING A/S,"Industrivej 35, 8660 Skanderborg",Skanderborg,01.05.1997,12.0,Lille,Aktieselskab,20013575,1.6,12978000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TENMOR SOLUTIONS ApS,"Birkehaven 403, 2980 Kokkedal",Fredensborg,01.11.2002,1.0,Mikro,Anpartsselskab,26879124,125.0,-3893000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LA-PRODUCTION ApS,"Fiskerengen 10, 3250 Gilleleje",Gribskov,31.10.2008,7.0,Mikro,Anpartsselskab,31780039,125.0,4558000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANCLEAN HOLDING ApS,"Ulvehøjvej 6, 8670 Låsby",Skanderborg,23.06.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31497590,125.0,8000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAIS MASKIN FABRIK ApS,"Højgårdsvej 2, 5750 Ringe",Faaborg-Midtfyn,19.06.2014,7.0,Mikro,Anpartsselskab,36020342,98.0,4725000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rør & Svejsemesteren ApS,"Ydingvej 7, 8752 Østbirk",Horsens,22.11.2019,2.0,Mikro,Anpartsselskab,40953337,40.0,1292000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDISK RUSTFRI ApS,"Industrivej 25, 3300 Frederiksværk",Halsnæs,07.10.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33242697,80.0,210000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBKO ApS,"Agerøvej 14, 7960 Karby",Morsø,08.05.1996,Ikke oplyst,Ikke oplyst,Anpartsselskab,19264831,200.0,-227000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERTEC DANMARK ApS,"Egestedvej 2 B, 3320 Skævinge",Hillerød,08.10.1997,1.0,Mikro,Anpartsselskab,20413972,250.0,682000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRDR. ONSTRUP A/S,"Stigsnæs Landevej 131, 4230 Skælskør",Slagelse,01.06.1989,4.0,Mikro,Aktieselskab,13236399,501.0,3700000.0,DKK,2024.0,1,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rattay DK ApS,"Energivej 20, 6700 Esbjerg",Esbjerg,18.02.2004,43.0,Lille,Anpartsselskab,27602983,350.0,28585000.0,DKK,2023.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasima Smed og Montage ApS,"Hestehaven 13, 8830 Tjele",Viborg,31.07.2018,2.0,Mikro,Anpartsselskab,39757397,50.0,589000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GERHARDT CHRISTENSEN A/S,"Landholmvej 10, 9280 Storvorde",Aalborg,01.07.2011,10.0,Lille,Aktieselskab,33775520,600.0,5530000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KØLKÆR STÅL & TEKNIK ApS,"Resenborgvej 12, 7400 Herning",Herning,18.12.2013,20.0,Lille,Anpartsselskab,25654722,80.0,15026000.0,DKK,2023.0,1,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DROST METALL ApS,"Ben Websters Vej 82, 2450 København SV",København,18.01.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42036455,40.0,1000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEXI METAL A/S,"Hjejlevej 10, 7480 Vildbjerg",Herning,31.05.2001,17.0,Lille,Aktieselskab,26081653,500.0,15687000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hag Montage ApS,"Gordonhaven 6, 8370 Hadsten",Favrskov,06.04.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32837034,80.0,-8000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JTN STÅL ApS,"Bukdalvej 15, 7500 Holstebro",Holstebro,24.05.2017,26.0,Lille,Anpartsselskab,38666398,50.0,12715000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOPO-MATIC ApS,"Ørslevvej 125, 4230 Skælskør",Slagelse,04.12.2003,2.0,Mikro,Anpartsselskab,27464440,125.0,1842000.0,DKK,2024.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
