Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Bygning af både til fritid og sport,Fremstilling af civile luft- og rumfartøjer o.lign.,Bygning af militærfartøjer,Fremstilling af cykler og kørestole,Fremstilling af andre transportmidler i.a.n.,Fremstilling af motorcykler,Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje,Bygning af civile skibe og flydende materiel,Fremstilling af militære kampkøretøjer,Fremstilling af militære luft- og rumfartøjer o.lign.
TUCO YACHT VÆRFT ApS,"Mørkebjergvej 3, 5600 Faaborg",Faaborg-Midtfyn,05.03.2009,46.0,Lille,Anpartsselskab,32072291,125.0,21489000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LEMCO Rehab & Fysio ApS,"Fabriksvej 3, 3000 Helsingør",Helsingør,08.03.1974,8.0,Mikro,Anpartsselskab,40159916,125.0,1820000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HF Christiansen A/S,"Hvidemøllevej 9-11, 8920 Randers NV",Randers,01.08.1989,51.0,Mellemstor,Aktieselskab,13394741,2.55,24738000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDEMA A/S,"Enggårdvej 7, 7400 Herning",Herning,08.08.1975,36.0,Lille,Aktieselskab,51892712,19.0,30209000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Siigar Bikes ApS,"Holmbladsgade 27, 2300 København S",København,19.09.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38943634,50.0,-552000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S HVIDE SANDE SKIBS- OG BAADEBYGGERI,"Beddingsvej 2, 6960 Hvide Sande",Ringkøbing-Skjern,22.04.1950,67.0,Mellemstor,Aktieselskab,64600028,912.0,32645000.0,DKK,2023.0,1,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
COMPOSHIELD A/S,"Tolsagervej 9, 8370 Hadsten",Favrskov,08.06.2000,19.0,Lille,Aktieselskab,25540891,1.0,9386000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LANGHØJ ApS,"Hasselager Centervej 26, 8260 Viby J",Århus,01.04.1987,30.0,Lille,Anpartsselskab,11316786,300.0,30873000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Velove Denmark ApS,"Gammel Lyngvej 2, 4600 Køge",Køge,13.01.2021,2.0,Mikro,Anpartsselskab,42031984,40.0,1228000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Green CottageArc ApS,"Havnevej 23 A, 3100 Hornbæk",Helsingør,24.09.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39893916,50.0,101000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandholm.eu ApS,"Farrevej 21, 8464 Galten",Skanderborg,28.11.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30557603,250.0,-127000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLINTHOLM BEDDING OG BÅDEBYGGERI ApS,"Smøgen 6, 4652 Hårlev",Stevns,11.02.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,32311679,80.0,-5000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ODDER BARNEVOGNSFABRIK A/S,"Ballevej 7, 8300 Odder",Odder,29.06.1970,9.0,Mikro,Aktieselskab,36962518,600.0,8744000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ Racing ApS,"Industrivej 24, 4683 Rønnede",Faxe,29.06.2018,1.0,Mikro,Anpartsselskab,39686252,50.0,-443000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BALTIC AERO ApS,"Søndre Landevej 2, 3700 Rønne",Bornholm,25.04.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31421802,125.0,-20000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furlerboom A/S,"Stokagervej 23, 8240 Risskov",Århus,24.10.2017,5.0,Mikro,Aktieselskab,39037599,500.0,7869000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloch Både ApS,"Falkevej 15, 9352 Dybvad",Frederikshavn,07.12.2021,3.0,Mikro,Anpartsselskab,42899720,40.0,925000.0,DKK,2023.0,0,0,30,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Space Inventor A/S,"Selma Lagerløfs Vej 312, 9220 Aalborg Øst",Aalborg,01.09.2015,73.0,Mellemstor,Aktieselskab,37053252,400.0,33355000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRA INTERNATIONAL ApS,"Humlevej 8, 8240 Risskov",Århus,01.10.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14604375,200.0,103000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Electric Marine ApS,"Schimmelmannsvej 11, 2930 Klampenborg",Lyngby-Taarbæk,11.01.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40200398,40.0,27000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEX-FEB ApS,"Havnegade 11, 5960 Marstal",Ærø,20.01.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41092947,100.0,16000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Borghegn Yachtdesign ApS,"Vestermøllevej 32, 7700 Thisted",Thisted,02.01.2018,1.0,Mikro,Anpartsselskab,39238608,50.0,480000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CALH 2015 ApS,"Byåsen 18, 3660 Stenløse",Egedal,01.01.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36486694,50.0,-4000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HANDY TRANSPORTVOGNE A/S,"Essen 26, 6000 Kolding",Kolding,01.10.1972,10.0,Lille,Aktieselskab,41948515,500.0,5127000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VeloBarista ApS,"Valdemarsgade 65, 1665 København V",København,01.09.2017,1.0,Mikro,Anpartsselskab,38904736,40.0,514000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
True Boat Builders ApS,"Fabriksvej 5, 6640 Lunderskov",Kolding,09.05.1985,21.0,Lille,Anpartsselskab,77666311,200.0,9421000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADJUTOR ApS,"Ventevej 3 B, 4050 Skibby",Frederikssund,01.04.2007,1.0,Mikro,Anpartsselskab,30564324,125.0,946000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FAABORG VÆRFT A/S,"Værftsvej 7, 5600 Faaborg",Faaborg-Midtfyn,29.06.1977,31.0,Lille,Aktieselskab,82735615,2.2,11916000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Orbital Express Launch ApS,"Kanalholmen 14 1, 2650 Hvidovre",Hvidovre,11.10.2016,80.0,Mellemstor,Anpartsselskab,38106260,50.0,9926000.0,DKK,2023.0,1,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRP HOLDING ApS,"Randersvej 218, 8450 Hammel",Favrskov,31.03.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,27714668,125.0,664000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LEITRA DK ApS,"Klokkerhaven 2 A 1 th, 2750 Ballerup",Ballerup,06.05.2000,Ikke oplyst,Ikke oplyst,Anpartsselskab,25441362,125.0,-84000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PURETEQ A/S,"Sverigesvej 13, 5700 Svendborg",Svendborg,30.08.2010,28.0,Lille,Aktieselskab,33144334,500.0,34896000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SW enterprise ApS,"Bachersmindevej 11, 2791 Dragør",Tårnby,12.11.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42852430,40.0,-22000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MMS EQUIPMENT ApS,"Refshalevej 320, 1432 København K",København,28.02.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34453144,50.0,0.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
POCA GLASFIBER ApS,"Ndr. Fabriksvej 9, 8722 Hedensted",Hedensted,24.03.2011,16.0,Lille,Anpartsselskab,33584687,90.0,8411000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIR SERVICE VAMDRUP ApS,"Lufthavnsvej 7, 6580 Vamdrup",Kolding,01.12.1987,13.0,Lille,Anpartsselskab,11752446,300.0,2607000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Space Composite Structures DENMARK APS,"Hestehaven 21 st, 5260 Odense S",Odense,02.10.2017,8.0,Mikro,Anpartsselskab,38980076,67.0,3548000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Egeskovs Bådebyggeri ApS,"Knud Højgaards Vej 18, 7100 Vejle",Vejle,01.06.2022,1.0,Mikro,Anpartsselskab,43303643,40.0,467000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flooding Stop ApS,"Vesterlundvej 4, 2730 Herlev",Herlev,08.12.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,39160846,50.0,-151000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BORNHOLM AIR SERVICE ApS,"Søndre Landevej 2, 3700 Rønne",Bornholm,28.06.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,26987733,200.0,-209000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HANDIGOOD ApS,"Lilleringvej 14 B, 8462 Harlev J",Århus,16.10.2014,1.0,Mikro,Anpartsselskab,36408588,369.0,-60000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FYTH 2 ApS,"Søvej 38, 8680 Ry",Skanderborg,17.04.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32097987,125.0,-5000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TL Marine ApS,"Niels Juels Vej 101, 9900 Frederikshavn",Frederikshavn,12.01.2024,1.0,Mikro,Anpartsselskab,44567644,40.0,2181000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Poulsen Motors ApS,"Hybenbakken 3, 3540 Lynge",Allerød,20.08.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43457764,40.0,-19000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VERMUND LARSEN A/S,"Gøteborgvej 12, 9200 Aalborg SV",Aalborg,26.06.1975,123.0,Mellemstor,Aktieselskab,52796628,500.0,85953000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NIHOLA ApS,"Kastanievej 7, 4060 Kirke Såby",Lejre,01.09.1998,8.0,Mikro,Anpartsselskab,21120537,125.0,12126000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NR STAAL ApS,"Aurikelvej 1, 9310 Vodskov",Aalborg,26.07.2012,2.0,Mikro,Anpartsselskab,32324665,80.0,3814000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
X-YACHTS A/S,"Fjordagervej 21, 6100 Haderslev",Haderslev,29.12.1964,116.0,Mellemstor,Aktieselskab,24260615,15.2,-13241000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIKOLAJ BERGSTRØM KJØLBY ApS,"Blegdammen 46, 4600 Køge",Køge,01.11.2013,1.0,Mikro,Anpartsselskab,35526927,85.0,661000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klaus Tømrer og Bådbygger ApS,"Højskolen 7, 5856 Ryslinge",Faaborg-Midtfyn,01.07.2019,1.0,Mikro,Anpartsselskab,40637087,40.0,369000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ TECH ApS,"Blomsterparken 29, 8464 Galten",Skanderborg,12.01.2012,1.0,Mikro,Anpartsselskab,34210314,80.0,937000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FUNDER DEVELOPMENT ApS,"Hjulmagervej 4 A, 7100 Vejle",Vejle,19.11.2014,4.0,Mikro,Anpartsselskab,36437553,50.0,2173000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDBORG BÅDEBYGGERI A/S,"Mads Clausens Vej 2, 6430 Nordborg",Sønderborg,22.11.1991,8.0,Mikro,Aktieselskab,15686103,500.0,3214000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWA-Teknik ApS,"Udbyhøjvej 113, 8930 Randers NØ",Randers,08.09.2021,1.0,Mikro,Anpartsselskab,42664545,50.0,415000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMA INNOVATION A/S,"Lundsmarken 2, 5792 Årslev",Faaborg-Midtfyn,28.11.2005,33.0,Lille,Aktieselskab,29186952,400.0,43420000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SBS FRICTION A/S,"Kuopiovej 11, 5700 Svendborg",Svendborg,01.11.1996,135.0,Mellemstor,Aktieselskab,19751937,12.001,102183000.0,DKK,2024.0,1,1,30,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RAND BOATS A/S,"Skudehavnsvej 34, 2150 Nordhavn",København,22.10.2014,7.0,Mikro,Aktieselskab,36412704,400.0,16490000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Propulsion ApS,"Fysikvej 312 st, 2800 Kongens Lyngby",Lyngby-Taarbæk,24.01.2023,4.0,Mikro,Anpartsselskab,43802194,40.0,170000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-trailers A/S,"Hundborgvej 198, 7700 Thisted",Thisted,06.12.2018,Ikke oplyst,Ikke oplyst,Aktieselskab,40081879,1.0,-80000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HAAGEN CAUTIO ApS,"Svend Gøngesvej 37, 4720 Præstø",Vordingborg,28.03.2012,2.0,Mikro,Anpartsselskab,34473250,80.0,1116000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Finn & Ko ApS,"Jasminvej 4, 8653 Them",Silkeborg,01.12.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37284106,40.0,105000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EXCELLENT COMPANY ApS,"Bakkekammen 144, 3600 Frederikssund",Frederikssund,24.06.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33043694,80.0,-29000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GITZ Group ApS,"Blodhøjvej 2, 4040 Jyllinge",Roskilde,02.03.2015,1.0,Mikro,Anpartsselskab,36555084,50.0,-57000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebelmoto ApS,"Fåredammen 2, 5300 Kerteminde",Kerteminde,03.12.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41908696,40.0,31000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Artex Danmark A/S,"Hjulmagervej 4, 8800 Viborg",Viborg,07.02.2023,16.0,Lille,Aktieselskab,43833111,400.0,10281000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GreyBird Maintenance ApS,"Ny Lufthavnsvej 22, 8560 Kolind",Syddjurs,30.06.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,27923844,57.0,-2190000.0,DKK,2023.0,1,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARSOE ApS,"Mineralvej 6-8, 9220 Aalborg Øst",Aalborg,01.06.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14263942,584.0,-9571000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LUFFE YACHTS ApS,"Hesselly 10, 6000 Kolding",Kolding,26.06.1985,15.0,Lille,Anpartsselskab,78329610,290.0,2489000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIKING LIFE-SAVING EQUIPMENT A/S,"Sædding Ringvej 13, 6710 Esbjerg V",Esbjerg,17.02.1960,505.0,Stor,Aktieselskab,15016213,497.664,506326000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
REIDEL AVIATION ApS,"Høedvej 16, 4450 Jyderup",Holbæk,27.04.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32139698,125.0,135000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
