Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Bygning af både til fritid og sport,Fremstilling af civile luft- og rumfartøjer o.lign.,Bygning af militærfartøjer,Fremstilling af cykler og kørestole,Fremstilling af andre transportmidler i.a.n.,Fremstilling af motorcykler,Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje,Bygning af civile skibe og flydende materiel,Fremstilling af militære kampkøretøjer,Fremstilling af militære luft- og rumfartøjer o.lign.
Nordic EMT ApS,"Nordborgvej 69, 6430 Nordborg",Sønderborg,26.03.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35813683,40.0,-6000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DINES AVITECH ApS,"Sivvænget 3, 4622 Havdrup",Solrød,12.06.2006,1.0,Mikro,Anpartsselskab,29616760,125.0,630000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lusospace Denmark ApS,"Rådhuspladsen 16, 1550 København V",København,12.11.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37225495,40.0,-42000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-Tec Industries ApS,"Nyvej 12, 8543 Hornslet",Syddjurs,29.04.2016,1.0,Mikro,Anpartsselskab,37677477,50.0,801000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JØRGENSEN BYG ApS,"Asmild Dige 19, 8800 Viborg",Viborg,02.10.2014,1.0,Mikro,Anpartsselskab,36405279,50.0,-48000.0,DKK,2023.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balthire ApS,"Fiskerikajerne 20, 8500 Grenaa",Norddjurs,12.08.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37930865,50.0,200000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
R82 A/S,"Parallelvej 3, 8751 Gedved",Horsens,22.06.1992,175.0,Mellemstor,Aktieselskab,16202185,4.785,76911000.0,DKK,2023.0,1,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nimbus Motorcycles Holding A/S,"Ubberødvej 22, 2970 Hørsholm",Hørsholm,28.09.2020,Ikke oplyst,Ikke oplyst,Aktieselskab,41717823,1.195,-1412000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOLYTEX A/S,"Smedeland 12, 2600 Glostrup",Glostrup,07.01.1972,30.0,Lille,Aktieselskab,42677612,2.0,3714000.0,DKK,2024.0,1,0,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Classic Trim Aircraft Interiors ApS,"Hestehavevej 22, 5856 Ryslinge",Faaborg-Midtfyn,26.08.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42630772,40.0,361000.0,DKK,2024.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI BOAT ApS,"Arnborgvej 37, 6900 Skjern",Ringkøbing-Skjern,01.03.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34455228,80.0,-10000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercosur-Care ApS,"Håndværkervej 1, 9700 Brønderslev",Brønderslev-Dronninglund,22.05.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44075407,40.0,-16000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LARRY VS HARRY ApS,"Esromgade 15 st, 2200 København N",København,17.01.2008,22.0,Lille,Anpartsselskab,31187699,125.0,15672000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GOMSPACE A/S,"Langagervej 6, 9220 Aalborg Øst",Aalborg,28.09.2007,137.0,Mellemstor,Aktieselskab,30899849,15.276,3115000.0,DKK,2023.0,1,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asasara ApS,"Vestergade 8 B, 4850 Stubbekøbing",Guldborgsund,24.10.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40956883,40.0,71000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AUTO-GYRO NORDIC ApS,"Nordstjernen 6, 3390 Hundested",Halsnæs,01.02.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34224684,80.0,124000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPH Shipyard ApS,"Vesterlundvej 5, 2730 Herlev",Herlev,07.05.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37668079,50.0,-10000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RAVENDO A/S,"Klokkestøbervej 3, 8800 Viborg",Viborg,30.05.2006,44.0,Lille,Aktieselskab,29604045,500.0,20571000.0,DKK,2023.0,1,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Miljø Bevidst Genbrug ApS,"Valhøjs Alle 157, 2610 Rødovre",Rødovre,04.04.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39487780,40.0,0.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNTRAIL ApS,"Saloparken 319, 8300 Odder",Odder,18.12.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,26370124,125.0,88000.0,DKK,2023.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WOLTURNUS A/S,"Skalhuse 31, 9240 Nibe",Aalborg,21.02.2002,81.0,Mellemstor,Aktieselskab,26486734,625.0,50267000.0,DKK,2024.0,1,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Laplandar ApS,"Skovvej 9, 2930 Klampenborg",Lyngby-Taarbæk,21.11.2019,6.0,Mikro,Anpartsselskab,40948821,88.0,-536000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B-Bikes ApS,"Møllesvinget 6, 2690 Karlslunde",Greve,26.09.2018,36.0,Lille,Anpartsselskab,39892499,50.0,19637000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
