Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Fremstilling af løfte- og håndteringsudstyr,Fremstilling af andre maskiner til generelle formål i.a.n.,"Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter","Fremstilling af klimaanlæg, ikke til husholdningsbrug","Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",Fremstilling af hydraulisk udstyr,Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg,Fremstilling af maskiner til produktion af plast og gummi,Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal,Fremstilling af landbrugs- og skovbrugsmaskiner,Fremstilling af motordrevet håndværktøj,Fremstilling af andet maskinværktøj,"Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder","Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning",Fremstilling af andre haner og ventiler,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",Fremstilling af andre pumper og kompressorer,Fremstilling af maskiner til additiv fremstilling,Fremstilling af maskiner til produktion af papir og pap,"Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder",Fremstilling af maskiner til metallurgi
HyKin Energy A/S,"Vejlby Vænge 101, 8240 Risskov",Århus,16.12.2022,2.0,Mikro,Aktieselskab,43711687,400.0,112000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-Flow Holding ApS,"Sandbjergvej 12, 2970 Hørsholm",Hørsholm,11.05.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39561344,100.0,-123000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRCO DIET A/S,"Prins Georgs Kvarter 4, 7000 Fredericia",Fredericia,01.11.2007,25.0,Lille,Aktieselskab,31052319,1.0,26979000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W. DOMINO A/S,"Ølholm Bygade 51, 7160 Tørring",Hedensted,01.07.1998,22.0,Lille,Aktieselskab,20994975,500.0,2841000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harco Heavy Lifting A/S,"Måde Industrivej 36, 6705 Esbjerg Ø",Esbjerg,19.12.2019,69.0,Mellemstor,Aktieselskab,41034149,400.0,52225000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
powertech-marine.dk ApS,"Oddenvej 241 A, 4583 Sjællands Odde",Odsherred,21.08.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38887432,50.0,213000.0,DKK,2023.0,0,0,28,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EHCOLO A/S,"Smedevej 10, 6683 Føvling",Vejen,01.07.1987,44.0,Lille,Aktieselskab,10859395,500.0,28652000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AuRoCon A/S,"Porsvej 2, 9000 Aalborg",Aalborg,23.05.2018,3.0,Mikro,Aktieselskab,39589877,2.988,-2066000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FENGER SYSTEM ApS AARS,"Ndr Borremosevej 16, 9600 Aars",Vesthimmerland,02.07.2007,1.0,Mikro,Anpartsselskab,30699548,125.0,472000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levara Aps,"Margrethevej 4, 3550 Slangerup",Frederikssund,23.11.2020,1.0,Mikro,Anpartsselskab,41903449,40.0,584000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
