Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Fremstilling af løfte- og håndteringsudstyr,Fremstilling af andre maskiner til generelle formål i.a.n.,"Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter","Fremstilling af klimaanlæg, ikke til husholdningsbrug","Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",Fremstilling af hydraulisk udstyr,Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg,Fremstilling af maskiner til produktion af plast og gummi,Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal,Fremstilling af landbrugs- og skovbrugsmaskiner,Fremstilling af motordrevet håndværktøj,Fremstilling af andet maskinværktøj,"Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder","Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning",Fremstilling af andre haner og ventiler,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",Fremstilling af andre pumper og kompressorer,Fremstilling af maskiner til additiv fremstilling,Fremstilling af maskiner til produktion af papir og pap,"Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder",Fremstilling af maskiner til metallurgi
SCP-Teknik ApS,"Støberivej 4, 4600 Køge",Køge,16.07.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40663827,40.0,-2000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FARM INNOVATION ApS,"Sanderumvej 16 B, 5250 Odense SV",Odense,24.01.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31250471,126.0,-424000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHI Maskinservice ApS,"Rønhave Parkvej 33, 4736 Karrebæksminde",Næstved,11.06.2020,1.0,Mikro,Anpartsselskab,41427078,40.0,516000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steel Products Aage Østergaard A/S,"Islandsvej 25, 8700 Horsens",Horsens,22.04.1980,207.0,Mellemstor,Aktieselskab,89626412,25.0,34820000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKANROLL A/S,"Slussi 14, 8620 Kjellerup",Silkeborg,16.10.1984,47.0,Lille,Aktieselskab,76211914,500.0,29125000.0,DKK,2024.0,1,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENMATIC A/S,"Industrivej 8, 5471 Søndersø",Nordfyns,01.08.1975,78.0,Mellemstor,Aktieselskab,56026614,5.2,30410000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riga ApS,"Molsvej 11, 8940 Randers SV",Randers,25.06.2016,1.0,Mikro,Anpartsselskab,37825646,50.0,545000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIST-LINIESTANS ApS,"Glerupvej 5, 2610 Rødovre",Rødovre,01.07.1987,5.0,Mikro,Anpartsselskab,11143490,400.0,4694000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CAMA LIFT ApS,"Ellehammervej 6, 9900 Frederikshavn",Frederikshavn,17.11.1975,24.0,Lille,Anpartsselskab,54931328,200.0,12881000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNH Hørup A/S,"Linbækvej 9, 6400 Sønderborg",Sønderborg,01.09.2009,5.0,Mikro,Aktieselskab,32441734,1.0,4019000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HJ Freezing Solution ApS,"Åkandevej 18, 9740 Jerslev J",Brønderslev-Dronninglund,25.05.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43284150,40.0,-5000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRØLL CRANES A/S,"Nordkranvej 2, 3540 Lynge",Allerød,01.09.1985,71.0,Mellemstor,Aktieselskab,78944714,20.0,23458000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EILERSEN ELECTRIC DIGITAL SYSTEMS A/S,"Kokkedal Industripark 4, 2980 Kokkedal",Fredensborg,29.12.1997,47.0,Lille,Aktieselskab,20907134,1.0,47246000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPEN MACHINERY A/S,"Sortevej 12, 8543 Hornslet",Syddjurs,28.05.2001,12.0,Lille,Aktieselskab,26051126,500.0,5813000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montrose Environmental Group Denmark ApS,"Kildemarksvej 3, 4200 Slagelse",Slagelse,11.03.2022,7.0,Mikro,Anpartsselskab,43121685,40.0,7561000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamBlaster ApS,"Thorsvej 1, 6862 Tistrup",Varde,15.11.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43648349,80.0,-518000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIMAN A/S,"Osvald Pedersens Vej 2 A, 6980 Tim",Ringkøbing-Skjern,24.02.2004,39.0,Lille,Aktieselskab,27609627,705.0,9538000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAPA A/S,"Stationsmestervej 83, 9200 Aalborg SV",Aalborg,15.07.2010,8.0,Mikro,Aktieselskab,33067666,1.758,6200000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smede- og Maskinservice ApS,"Møllehøjsvej 25, 9690 Fjerritslev",Jammerbugt,22.11.2019,1.0,Mikro,Anpartsselskab,40955275,140.0,305000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAY VALVES ApS,"Skaboeshusevej 175, 5800 Nyborg",Nyborg,01.02.2007,1.0,Mikro,Anpartsselskab,30248120,250.0,6920000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FC Værktøjsfabrik ApS,"Kallerupvej 2, 4400 Kalundborg",Kalundborg,01.04.1998,10.0,Lille,Anpartsselskab,20953306,50.0,5064000.0,DKK,2024.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TurnTech A/S,"Østre Boulevard 26, 8930 Randers NØ",Randers,11.11.2011,23.0,Lille,Aktieselskab,34052778,2.0,8056000.0,DKK,2024.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANISH B2B ApS,"Lægårdsvej 4, 7260 Sønder Omme",Billund,23.09.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37108480,50.0,40000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM ØSTERVANG ApS,"Terndrupvej 28, 9510 Arden",Mariagerfjord,01.06.1998,5.0,Mikro,Anpartsselskab,20910704,125.0,1886000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brdr. Christensens ApS,"Broksøvej 79, 4690 Haslev",Faxe,08.12.2021,15.0,Lille,Anpartsselskab,42888117,40.0,-337000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Midtjysk Boligventilation ApS,"Samsøgade 4, 7800 Skive",Skive,11.04.2019,2.0,Mikro,Anpartsselskab,40446931,50.0,1062000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StaySeat ApS,"Risvangen 17, 2700 Brønshøj",København,26.10.2020,2.0,Mikro,Anpartsselskab,41792620,62.0,769000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HN TEKNIK A/S,"Tietgensvej 33, 8600 Silkeborg",Silkeborg,11.03.1997,Ikke oplyst,Ikke oplyst,Aktieselskab,19906930,1.1,52000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Brade Technic & Solutions ApS,"Drejergangen 9 C, 2690 Karlslunde",Greve,28.11.2017,18.0,Lille,Anpartsselskab,39121093,50.0,9625000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANCUTTER A/S,"Livøvej 1 A, 8800 Viborg",Viborg,01.01.2002,16.0,Lille,Aktieselskab,26672678,600.0,26645000.0,DKK,2024.0,1,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRTEC DANMARK A/S,"Hvedemarken 21, 7620 Lemvig",Lemvig,23.10.1998,6.0,Mikro,Aktieselskab,21212687,500.0,12921000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOGITRANS A/S,"Hillerupvej 35, 6760 Ribe",Esbjerg,19.12.1974,117.0,Mellemstor,Aktieselskab,51572718,14.5,64362000.0,DKK,2023.0,1,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ-GEAR A/S,"Niels Bohrs Vej 47, 8660 Skanderborg",Skanderborg,12.03.1986,105.0,Mellemstor,Aktieselskab,10166470,6.5,84117000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shark Compactors A/S,"Dragsmøllevej 12, 4534 Hørve",Odsherred,13.09.2016,4.0,Mikro,Aktieselskab,38006533,500.0,4850000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANDMECO A/S,"Haulundvej 16, 6870 Ølgod",Varde,05.11.1979,56.0,Mellemstor,Aktieselskab,89524113,2.0,48827000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GS-HYDRO DANMARK A/S,"Fabriksvej 12, 6000 Kolding",Kolding,07.07.1983,16.0,Lille,Aktieselskab,73242517,500.0,9950000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elius ApS,"Collinsgade 6 3 th, 2100 København Ø",København,24.03.2023,2.0,Mikro,Anpartsselskab,43941569,40.0,-128000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KB KØLETEKNIK ApS,"Langgade 7, 7321 Gadbjerg",Vejle,05.12.2005,6.0,Mikro,Anpartsselskab,29194343,125.0,4209000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ OLESEN A/S,"Nymindegabvej 351, 6830 Nørre Nebel",Varde,19.08.2013,22.0,Lille,Aktieselskab,35415270,500.0,6062000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLS - Schaumann Sprayers ApS,"Lillemarksvej 6 A, 5600 Faaborg",Faaborg-Midtfyn,15.09.2015,1.0,Mikro,Anpartsselskab,37083666,50.0,916000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refine Finishing ApS,"Elmedalsvej 20, 4200 Slagelse",Slagelse,01.02.2013,8.0,Mikro,Anpartsselskab,35041966,80.0,-3078000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HeroCamper ApS,"Lammefjordsvej 5, 6715 Esbjerg N",Esbjerg,22.01.2019,24.0,Lille,Anpartsselskab,40193189,745.0,6883000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WINDTRADERS ApS,"Toppen 26, 7120 Vejle Øst",Vejle,10.01.2008,1.0,Mikro,Anpartsselskab,31173159,125.0,782000.0,DKK,2023.0,0,0,28,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-safe A/S,"Gydevang 1, 3450 Allerød",Allerød,31.05.1978,36.0,Lille,Aktieselskab,84299715,500.0,60215000.0,DKK,2024.0,1,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.J. Cooltek ApS,"Skovdiget 2, 3200 Helsinge",Gribskov,07.10.2021,1.0,Mikro,Anpartsselskab,42737739,40.0,721000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.O.M. RUSTFRI SMEDE OG MONTAGE A/S,"Industrivej 32, 7700 Thisted",Thisted,22.06.2007,21.0,Lille,Aktieselskab,30694732,588.0,17413000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSR ENGINEERING ApS,"Svanehøj 10 1 th, 9000 Aalborg",Aalborg,04.09.2001,1.0,Mikro,Anpartsselskab,26220726,125.0,133000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSM INDUSTRIES A/S,"Sigenvej 7, 9760 Vrå",Hjørring,10.04.2014,18.0,Lille,Aktieselskab,35833242,667.0,12283000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ALVENT A/S,"Glerupvej 2, 2610 Rødovre",Rødovre,02.12.1997,47.0,Lille,Aktieselskab,20765003,775.0,61027000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARSOE ApS,"Mineralvej 6-8, 9220 Aalborg Øst",Aalborg,01.06.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14263942,584.0,-9571000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYCON A/S,"Juelstrupparken 11, 9530 Støvring",Rebild,01.10.2002,18.0,Lille,Aktieselskab,10097061,2.0,16038000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JENSEN DENMARK A/S,"Industrivej 2, 3700 Rønne",Bornholm,17.10.1967,720.0,Stor,Aktieselskab,35497714,10.0,171710000.0,DKK,2023.0,1,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conpleks Robotech ApS,"Fælledvej 17, 7600 Struer",Struer,04.03.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37513121,50.0,-18000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SISU + ApS,"Metalgangen 21, 2690 Karlslunde",Greve,19.01.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29308861,125.0,3000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEXO WASH ApS,"Langs Skoven 38, 8541 Skødstrup",Århus,01.08.1991,58.0,Mellemstor,Anpartsselskab,15383348,125.0,38994000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAWELCO ApS,"Fælledvej 19, 7171 Uldum",Hedensted,22.08.2020,4.0,Mikro,Anpartsselskab,41634391,40.0,51000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN-JET NORDIC A/S,"Terndrupvej 7, 9510 Arden",Mariagerfjord,20.06.2002,37.0,Lille,Aktieselskab,26663016,500.0,42833000.0,DKK,2023.0,1,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK ENERGY ApS,"Masnedøvej 53, 4760 Vordingborg",Vordingborg,01.01.2013,1.0,Mikro,Anpartsselskab,34898391,80.0,8578000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELDAN RECYCLING A/S,"Værkmestervej 4, 5600 Faaborg",Faaborg-Midtfyn,01.05.1990,115.0,Mellemstor,Aktieselskab,14125388,12.0,166053000.0,DKK,2023.0,1,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandy robot ApS,"Kildebrønde Landevej 6, 2670 Greve",Greve,27.08.2024,Ikke oplyst,Ikke oplyst,Anpartsselskab,45040852,40.0,-8000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-Sail ApS,"Stabrandvej 47, 8560 Kolind",Syddjurs,19.01.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43025945,40.0,471000.0,DKK,2023.0,0,0,28,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mads Westergaard ApS,"Limfjordsgade 184 A, 9440 Aabybro",Jammerbugt,06.11.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,40005463,50.0,91000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Highspeeddrinks ApS,"Herslev Møllevej 17, 7000 Fredericia",Fredericia,07.04.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38582348,50.0,243000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danish Feed Tech Solutions ApS,"Trappendalvej 35, 6094 Hejls",Kolding,01.09.2019,1.0,Mikro,Anpartsselskab,40780246,40.0,764000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROSENBERG VENTILATION ApS,"Assensvej 480, 5642 Millinge",Faaborg-Midtfyn,01.06.1992,14.0,Lille,Anpartsselskab,16221899,400.0,7187000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECHO GRAPHIC ApS,"Håndværkervej 2, 9560 Hadsund",Mariagerfjord,18.01.2011,6.0,Mikro,Anpartsselskab,33391692,80.0,1627000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BALBOA ApS,"Søllerødvej 91, 2840 Holte",Rudersdal,22.12.1982,Ikke oplyst,Ikke oplyst,Anpartsselskab,70443112,125.0,-37000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK INDUSTRI A/S,"Wichmandsgade 19, 5000 Odense C",Odense,01.08.1989,3.0,Mikro,Aktieselskab,13394105,500.0,5223000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teknik Partner Products ApS,"Kløvervej 93, 7190 Billund",Billund,13.07.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44185768,40.0,242000.0,DKK,2024.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ComFerm Holding ApS,"Nordlige Bjergevej 7, 8270 Højbjerg",Århus,29.05.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36914106,270.0,-14000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SØLVTOFT ApS,"Brylle Industrivej 10, 5690 Tommerup",Assens,11.05.2007,1.0,Mikro,Anpartsselskab,30589173,125.0,250000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKAKO VIBRATION A/S,"Bygmestervej 2, 5600 Faaborg",Faaborg-Midtfyn,01.01.1998,47.0,Lille,Aktieselskab,20666072,2.0,28007000.0,DKK,2023.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P. F. VÆRKTØJ. HERNING ApS,"Hvidelvej 16, 7400 Herning",Herning,08.11.1985,9.0,Mikro,Anpartsselskab,10012600,200.0,5349000.0,DKK,2024.0,1,1,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
