Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",Fremstilling af plastemballage,Fremstilling af andre plastprodukter,Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger,Forarbejdning og færdigbehandling af plastprodukter,Fremstilling af døre og vinduer af plast,Fremstilling af andre gummiprodukter,Fremstilling af bygningsartikler af plast
PMH PLAST ApS,"Hammersholt Erhvervspark 26, 3400 Hillerød",Hillerød,08.04.2014,10.0,Lille,Anpartsselskab,35825053,50.0,2177000.0,DKK,2024.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNILITE A/S,"Snæbumvej 26, 9500 Hobro",Mariagerfjord,03.07.1987,82.0,Mellemstor,Aktieselskab,10906148,500.0,50931000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALPHA PLAST ApS,"Toftegade 7, 4000 Roskilde",Roskilde,02.05.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,26018927,125.0,-6000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UF2023 A/S,"Industrivænget 11, 7400 Herning",Herning,17.12.1976,Ikke oplyst,Ikke oplyst,Aktieselskab,63531316,400.0,5215000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACCOFLUOR A/S,"Topstykket 21-23, 3460 Birkerød",Rudersdal,01.07.2005,25.0,Lille,Aktieselskab,28870493,3.0,12637000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AKRYLVÆRKSTEDET ApS,"Sydmarken 50, 2860 Søborg",Gladsaxe,15.04.1997,2.0,Mikro,Anpartsselskab,19978931,810.0,1054000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FUZZYLAB ApS,"Rådhusvej 34, 2920 Charlottenlund",Gentofte,23.09.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,33167083,80.0,,nan,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRIO SKILTE ApS,"Industrivænget 3, 3400 Hillerød",Hillerød,30.08.2002,1.0,Mikro,Anpartsselskab,26783496,125.0,505000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MARSØ PLAST A/S,"Erritsø Møllebanke 11, 7000 Fredericia",Fredericia,15.01.2010,9.0,Mikro,Aktieselskab,32672167,501.0,6990000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCD DESIGN ApS,"Bispevej 25 1 tv, 2400 København NV",København,19.08.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36074434,50.0,0.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mathiesen Plast A/S,"Sæddervej 17, 4682 Tureby",Faxe,01.06.2020,3.0,Mikro,Aktieselskab,41411414,1.0,-69000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WOW Factory ApS,"Ringstedvej 201, 4173 Fjenneslev",Sorø,08.09.2015,3.0,Mikro,Anpartsselskab,37098140,50.0,1244000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JØRGEN KRUUSE A/S,"Havretoften 4, 5550 Langeskov",Kerteminde,02.05.1939,138.0,Mellemstor,Aktieselskab,35243216,1.0,162946000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EHRNO FLEXIBLE A/S,"Industrivej Nord 5, 7400 Herning",Herning,18.08.1977,32.0,Lille,Aktieselskab,82530711,600.0,21293000.0,DKK,2024.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECOBETA A/S,"Staunvej 29, 9240 Nibe",Aalborg,29.06.2005,1.0,Mikro,Aktieselskab,28898363,523.0,-81000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CREATIVE TECHNIC ApS,"Frederiksberg Alle 100 kl, 1820 Frederiksberg C",Frederiksberg,01.07.1988,2.0,Mikro,Anpartsselskab,12325630,125.0,898000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Stenca Solutions ApS,"Idrætsvej 12, 9681 Ranum",Vesthimmerland,09.10.2017,17.0,Lille,Anpartsselskab,38994670,50.0,13578000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fyns Plast Aps,"Barløsevej 23, 5610 Assens",Assens,01.04.2020,3.0,Mikro,Anpartsselskab,41275936,40.0,1005000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LICHT A/S,"Jernholmen 6, 2650 Hvidovre",Hvidovre,29.06.2001,8.0,Mikro,Aktieselskab,26169844,1.0,3857000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Danline ApS,"Nørregade 25, 8961 Allingåbro",Norddjurs,12.04.2023,2.0,Mikro,Anpartsselskab,43981064,40.0,1571000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DANSK ROTATIONS PLASTIC ApS,"Kalvehave Havnevej 3 B, 4771 Kalvehave",Vordingborg,08.02.1975,28.0,Lille,Anpartsselskab,35021310,240.0,26202000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ANRUN ApS,"Stødagervej 5, 6400 Sønderborg",Sønderborg,06.11.2019,2.0,Mikro,Anpartsselskab,40915192,40.0,-73000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PROFILTEAM APS,"Fynsgade 10 A, 6400 Sønderborg",Sønderborg,10.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40933182,80.0,-8000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANAVO MARKET A/S,"Roskildevej 342 B 2, 2630 Taastrup",Høje-Taastrup,27.05.2010,Ikke oplyst,Ikke oplyst,Aktieselskab,32938930,500.0,370000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CUC ENGINEERING A/S,"Industrivej 29, 4200 Slagelse",Slagelse,05.06.1997,30.0,Lille,Aktieselskab,20153636,2.6,12728000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Amager Skilte Center ApS,"Klintegårdsvej 9, 2690 Karlslunde",Greve,21.05.2015,2.0,Mikro,Anpartsselskab,36906685,50.0,2167000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRIMOREELS A/S,"Skimmedevej 10, 4390 Vipperød",Holbæk,30.12.2008,9.0,Mikro,Aktieselskab,31933692,500.0,8254000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Infigo ApS,"Vesterågade 2 C, 8560 Kolind",Syddjurs,28.08.2021,1.0,Mikro,Anpartsselskab,42635480,40.0,690000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRESSALIT A/S,"Pressalitvej 1, 8680 Ry",Skanderborg,03.06.1978,237.0,Mellemstor,Aktieselskab,84364517,8.0,129290000.0,DKK,2023.0,1,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nordic Platform A/S,"Norgesvej 49, 6100 Haderslev",Haderslev,08.06.2010,6.0,Mikro,Aktieselskab,32946453,510.0,4226000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Ca Holding, Aalborg ApS","Gugvej 142 B, 9210 Aalborg SØ",Aalborg,13.12.2004,13.0,Lille,Anpartsselskab,28294271,3.0,3611000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TG Europe A/S,"Hvidkærvej 17 F, 5250 Odense SV",Odense,16.03.2022,2.0,Mikro,Aktieselskab,43132644,400.0,-495000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPO-NET DANMARK A/S,"Georg Jensens Vej 5, 9800 Hjørring",Hjørring,17.11.1959,89.0,Mellemstor,Aktieselskab,53271715,10.0,48942000.0,DKK,2023.0,1,1,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TITELBLAD//STACK ApS,"Ydesmindevej 2, 8560 Kolind",Syddjurs,27.12.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,41055901,40.0,3000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RE Plast & Montage ApS,"Allingdamvej 26, 9850 Hirtshals",Hjørring,26.06.2023,5.0,Mikro,Anpartsselskab,44138905,40.0,3938000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TREND MOULD ApS,"Industriparken 11, 8832 Skals",Viborg,06.06.2008,12.0,Lille,Anpartsselskab,31481821,400.0,4411000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mycro3D ApS,"Diplomvej 381, 2800 Kongens Lyngby",Lyngby-Taarbæk,08.08.2023,2.0,Mikro,Anpartsselskab,44224267,47.0,769000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AGTRUP-PLAST ApS,"Essen 12, 6000 Kolding",Kolding,01.12.1975,11.0,Lille,Anpartsselskab,53754015,200.0,4513000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WEST PHARMACEUTICAL SERVICES DANMARK ApS,"Fuglevangsvej 51, 8700 Horsens",Horsens,16.10.1999,297.0,Stor,Anpartsselskab,16210714,50.0,203351000.0,DKK,2023.0,1,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ULFOSS PLASTIC A/S,"Spånnebæk 25, 4300 Holbæk",Holbæk,06.02.1976,55.0,Mellemstor,Aktieselskab,50361918,9.0,23149000.0,DKK,2024.0,0,0,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MARTIN HØFT A/S,"Birkemosevej 3 A, 8361 Hasselager",Århus,13.02.1975,25.0,Lille,Aktieselskab,41384719,1.002,15991000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FOG AGROTEKNIK A/S,"Nydamsvej 19 A, 8362 Hørning",Skanderborg,29.12.2001,11.0,Lille,Aktieselskab,26442656,600.0,8475000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP PLAST A/S,"Ørstedsvej 7 B, 6760 Ribe",Esbjerg,19.06.1997,14.0,Lille,Aktieselskab,20146303,5.0,13881000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MIM-PLAST ApS,"Jyllandsvej 17, 9500 Hobro",Mariagerfjord,20.06.1978,3.0,Mikro,Anpartsselskab,84353310,135.0,1825000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DK Smede og Hydraulik ApS,"Emil Møllers Gade 41 B, 8700 Horsens",Horsens,21.04.2015,1.0,Mikro,Anpartsselskab,36726121,50.0,2453000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DuoClips ApS,"Generatorvej 13, 2860 Søborg",Gladsaxe,22.02.2024,Ikke oplyst,Ikke oplyst,Anpartsselskab,44656833,40.0,-8000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BD PLAST ApS,"Niels Bohrs Vej 14, 8670 Låsby",Skanderborg,08.09.2014,8.0,Mikro,Anpartsselskab,36083204,150.0,5511000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A. M. P. A/S,"Skovhusevej 17, 4773 Stensved",Vordingborg,01.04.2004,22.0,Lille,Aktieselskab,27929729,500.0,14371000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bernic System ApS,"Humlebækvej 45, 3480 Fredensborg",Fredensborg,01.05.1977,1.0,Mikro,Anpartsselskab,82537511,500.0,157000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AquaFrame ApS,"Puglundvej 16, 7200 Grindsted",Billund,14.12.2017,7.0,Mikro,Anpartsselskab,39160889,50.0,1343000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kristoffersen Plast A/S,"Falstersvej 1, 8940 Randers SV",Randers,18.06.2019,3.0,Mikro,Aktieselskab,40610170,400.0,2488000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LiqTech Plastics A/S,"Benshøj Industrivej 1, 9500 Hobro",Mariagerfjord,14.06.1990,25.0,Lille,Aktieselskab,14347135,500.0,12829000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ABC Plant Growers Aps,"Lerskovvej 20 A, 4652 Hårlev",Stevns,17.03.2020,1.0,Mikro,Anpartsselskab,41245875,40.0,430000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WORLDS-BEST GUMMIVAREFABRIK ApS,"Niels Bohrs Vej 45, 8660 Skanderborg",Skanderborg,25.09.1974,Ikke oplyst,Ikke oplyst,Anpartsselskab,24954811,50.0,58000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NUNC A/S,"Kamstrupvej 90, 4000 Roskilde",Roskilde,17.03.1953,322.0,Stor,Aktieselskab,39582910,1.0,232823000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UNIK & CO. ApS,"Oberst Kochs Alle 21, 2770 Kastrup",Tårnby,03.10.2008,6.0,Mikro,Anpartsselskab,31770629,125.0,890000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HS Plastic A/S,"Energivej 1, 6933 Kibæk",Herning,17.06.2016,5.0,Mikro,Aktieselskab,37807036,500.0,2923000.0,DKK,2023.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Falutech ApS,"Sønderupvej 6, 9541 Suldrup",Rebild,24.05.2019,3.0,Mikro,Anpartsselskab,40549633,80.0,1532000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARBI-SKUM A/S,"Industrivej 2, 3540 Lynge",Allerød,26.11.1971,2.0,Mikro,Aktieselskab,41594918,1.0,701000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SKAWPLAST A/S,"Østersøvej 2, 9990 Skagen",Frederikshavn,01.01.1993,6.0,Mikro,Aktieselskab,16696870,500.0,2464000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EV Agro A/S,"Kogtvedvænget 13 D 1 tv, 5700 Svendborg",Svendborg,10.11.2003,Ikke oplyst,Ikke oplyst,Aktieselskab,27443729,500.0,-45000.0,DKK,2024.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACHTON A/S,"Glasvej 2, 4220 Korsør",Slagelse,16.06.1987,19.0,Lille,Aktieselskab,10980690,1.0,20345000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Metazoa ApS,"Frankrigsvej 20, 8450 Hammel",Favrskov,07.05.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40513426,40.0,-10000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RG ROM GUMMI A/S,"Jupitervej 26, 7620 Lemvig",Lemvig,18.12.1984,73.0,Mellemstor,Aktieselskab,76653313,600.0,53192000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Infosign.dk ApS,"Skolebakken 13, 8740 Brædstrup",Horsens,01.09.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40758321,40.0,215000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GENUA A/S,"Højbro Plads 6, 1200 København K",København,18.04.1977,3.0,Mikro,Aktieselskab,83070919,1.49,295000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proplast A/S,"Ny Esbjergvej 5, 4720 Præstø",Vordingborg,22.12.1975,76.0,Mellemstor,Aktieselskab,32121128,1.0,46990000.0,DKK,2024.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEXVALVE CONTROL ApS,"Industrivej 3, 4241 Vemmelev",Slagelse,01.01.1999,6.0,Mikro,Anpartsselskab,24219771,125.0,2212000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LOGSTOR DENMARK HOLDING ApS,"Danmarksvej 11, 9670 Løgstør",Vesthimmerland,12.06.2013,271.0,Stor,Anpartsselskab,35375627,150.0,417162000.0,DKK,2023.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLE NONBYE A/S,"Knudsminde 4, 8300 Odder",Odder,10.06.1976,48.0,Lille,Aktieselskab,58274917,5.0,25883000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,1.0,0.0,0.0,0.0
PDC-PLAST A/S,"Skovgårdsvej 27, 3200 Helsinge",Gribskov,04.12.2000,16.0,Lille,Aktieselskab,25784111,500.0,8950000.0,DKK,2023.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RUBTEC A/S,"Vågøvej 28, 8700 Horsens",Horsens,27.06.2003,14.0,Lille,Aktieselskab,27226434,902.0,7148000.0,DKK,2024.0,0,0,22,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KIMA ACCESSORIES ApS,"Kastanievej 3, 6862 Tistrup",Varde,23.02.2012,11.0,Lille,Anpartsselskab,34450390,80.0,7648000.0,DKK,2024.0,1,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3D PRINT ApS,"Bækgårdsvej 17, 2640 Hedehusene",Høje-Taastrup,25.10.2022,1.0,Mikro,Anpartsselskab,43598341,40.0,0.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AVK PLAST A/S,"Øster Vedsted Vej 26 A, 6760 Ribe",Esbjerg,17.04.1985,73.0,Mellemstor,Aktieselskab,78205628,500.0,35237000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
INTERNATIONAL BAG INDUSTRY A/S,"Strandelhjørn Bygade 15, 6500 Vojens",Haderslev,07.03.1975,15.0,Lille,Aktieselskab,51830113,1.5,5820000.0,DKK,2024.0,0,0,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ScanComposit A/S,"Engelsholmvej 17, 8940 Randers SV",Randers,16.07.2018,9.0,Mikro,Aktieselskab,39730588,668.0,6278000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Raxit Seals ApS,"Kongevejen 345 A, 2840 Holte",Rudersdal,25.10.2018,3.0,Mikro,Anpartsselskab,40002650,805.0,502000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KØHLER DISPLAY ApS,"Stensmosevej 24 A, 2620 Albertslund",Albertslund,15.06.2010,11.0,Lille,Anpartsselskab,33033877,500.0,4703000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Agro Block Handel og Service ApS,"Maglehøj 94, 3520 Farum",Furesø,29.11.2017,1.0,Mikro,Anpartsselskab,39135299,51.0,2077000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HAMMEL PLAST A/S,"Frankrigsvej 20, 8450 Hammel",Favrskov,29.06.2004,13.0,Lille,Aktieselskab,27931790,500.0,6923000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SILWA A/S,"Egestubben 6, 5270 Odense N",Odense,11.12.1990,15.0,Lille,Aktieselskab,14905081,500.0,7222000.0,DKK,2024.0,1,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ASICOMO A/S,"Finlandsvej 8, 4970 Rødby",Lolland,12.05.1970,14.0,Lille,Aktieselskab,27959113,2.0,22852000.0,DKK,2023.0,1,0,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JUUL & SVANE ApS,"Grønnevej 12, 2830 Virum",Lyngby-Taarbæk,02.06.2004,Ikke oplyst,Ikke oplyst,Anpartsselskab,27768466,40.0,-86000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LARSEN OG TAMBORG A/S,"Barfredsvej 1, 9900 Frederikshavn",Frederikshavn,29.06.1987,38.0,Lille,Aktieselskab,10895979,1.0,17489000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J. A. PLASTINDUSTRI ApS,"Vestervigvej 163, 7755 Bedsted Thy",Thisted,10.06.1981,54.0,Mellemstor,Anpartsselskab,65699818,725.0,69340000.0,DKK,2023.0,1,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PROBECO A/S,"Bornholmsvej 2, 9670 Løgstør",Vesthimmerland,02.04.2002,77.0,Mellemstor,Aktieselskab,26535735,3.49,48386000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MODARC ApS,"Agerstien 21, 5591 Gelsted",Middelfart,14.10.2020,1.0,Mikro,Anpartsselskab,41760761,40.0,1763000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PR TRADING-FLEKOTA A/S,"Måløv Værkstedsby 1, 2760 Måløv",Ballerup,08.12.1975,36.0,Lille,Aktieselskab,42760919,990.0,130003000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Heveas ApS,"Amaliegade 6 2 tv, 1256 København K",København,16.04.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32098932,215.0,-452000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BOGENSE PLAST A/S,"Fynsvej 14, 5400 Bogense",Nordfyns,17.05.1979,85.0,Mellemstor,Aktieselskab,87341119,500.0,49889000.0,DKK,2023.0,1,1,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CONVENIENCE FOOD PACKAGING ApS,"Skellebækbakken 5, 3140 Ålsgårde",Helsingør,30.12.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36487690,120.0,-7000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VISLI ApS,"Postvænget 2 2 1, 9440 Aabybro",Jammerbugt,22.12.1982,Ikke oplyst,Ikke oplyst,Anpartsselskab,70448815,200.0,-22000.0,DKK,2024.0,0,0,22,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vilkah ApS,"Baldersbuen 2, 2640 Hedehusene",Høje-Taastrup,20.02.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40279334,116.0,-9000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SIGNMEUP A/S,"Eksportvej 10, 6330 Padborg",Aabenraa,03.02.2011,10.0,Lille,Aktieselskab,32322077,500.0,5354000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRIMO DANMARK A/S,"Jernbanegade 11, 6862 Tistrup",Varde,20.05.1986,168.0,Mellemstor,Aktieselskab,10238935,10.5,68245000.0,DKK,2023.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROLF SCHMIDT INDUSTRIPLAST A/S,"Jernet 4 H, 6000 Kolding",Kolding,20.12.1996,53.0,Mellemstor,Aktieselskab,19781488,3.0,42442000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LINATEX A/S,"Smedeholm 3-5, 2730 Herlev",Herlev,12.11.1951,31.0,Lille,Aktieselskab,55104018,6.0,20668000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ELLEGAARD GROUP A/S,"Vennershåbvej 4, 8800 Viborg",Viborg,01.07.1995,77.0,Mellemstor,Aktieselskab,18660644,1.6,49371000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BJ Plast ApS,"Østerbro 4, 5690 Tommerup",Assens,06.01.1986,11.0,Lille,Anpartsselskab,10081033,200.0,5186000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COMPLASTEC ROLLER-SYSTEM ApS,"Industrivej 65, 4683 Rønnede",Faxe,04.07.1990,2.0,Mikro,Anpartsselskab,14426434,200.0,1262000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALTUGLAS INTERNATIONAL DENMARK A/S,"Strandvejen 60 5, 2900 Hellerup",Gentofte,01.10.1988,5.0,Mikro,Aktieselskab,12505078,10.0,37825000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Segbend ApS,"Strandvangen 25, 5300 Kerteminde",Kerteminde,18.10.2019,5.0,Mikro,Anpartsselskab,40881174,40.0,4506000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADAPA FLEXIBLES DENMARK BJERT A/S,"Gl. Skartved 11, 6091 Bjert",Kolding,02.01.1986,40.0,Lille,Aktieselskab,10082773,1.001,8123000.0,DKK,2023.0,1,0,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMII ApS,"Tjørnelunds Allé 6 st tv, 2500 Valby",København,13.06.1974,Ikke oplyst,Ikke oplyst,Anpartsselskab,48791913,200.0,29000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QA Plast ApS,"Christian 4 Vej 18, 6000 Kolding",Kolding,29.07.2019,1.0,Mikro,Anpartsselskab,40692320,60.0,477000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FORM OG PLAST A/S,"Fabriksvej 32, 7600 Struer",Struer,20.06.1989,9.0,Mikro,Aktieselskab,13204799,500.0,3426000.0,DKK,2024.0,1,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Polyprint A/S,"Reprovej 5, 8722 Hedensted",Hedensted,17.12.1985,136.0,Mellemstor,Aktieselskab,10080991,1.0,126862000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEKO PLAST ApS,"Aahavevej 12, 8300 Odder",Odder,01.03.1994,3.0,Mikro,Anpartsselskab,17713396,200.0,1496000.0,DKK,2024.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dansk Plast A/S,"Oddesundvej 24, 6715 Esbjerg N",Esbjerg,31.01.2008,21.0,Lille,Aktieselskab,31253098,500.0,18136000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
