Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af råjern og råstål samt jernlegeringer,Fremstilling af stålbånd ved koldvalsning,Støbning af jernprodukter,Støbning af letmetalprodukter,"Fremstilling af rør, hule profiler og tilhørende fittings af stål",Støbning af stålprodukter,Fremstilling af aluminium,"Fremstilling af bly, zink og tin",Støbning af andre ikke-jernholdige metalprodukter,Fremstilling af ædelmetaller,Koldbehandling,Fremstilling af kobber,Fremstilling af tråd ved koldtrækning,Fremstilling af stænger ved koldtrækning
AALBORG ALUMINIUM INDUSTRI A/S,"Industrivej 9, 9510 Arden",Mariagerfjord,01.07.2001,2.0,Mikro,Aktieselskab,26109183,600.0,1098000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDSTRØM SVEJSETEKNIK ApS,"Fiskenes Kvarter 116, 6710 Esbjerg V",Esbjerg,05.04.2013,1.0,Mikro,Anpartsselskab,35226567,80.0,700000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VM TARM A/S,"Tværvej 25, 6880 Tarm",Ringkøbing-Skjern,22.12.1987,318.0,Stor,Aktieselskab,11784879,2.2,166418000.0,DKK,2024.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STILLING A/S,"Midtager 9 A, 2605 Brøndby",Brøndby,15.12.2014,40.0,Lille,Aktieselskab,36474513,500.0,19209000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TASSO A/S,"Frederiksgade 37, 5000 Odense C",Odense,16.01.1920,74.0,Mellemstor,Aktieselskab,37851515,15.0,6135000.0,DKK,2023.0,0,0,24,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.C. JENSEN A/S,"Løvholmen 13, 5700 Svendborg",Svendborg,23.11.1971,294.0,Stor,Aktieselskab,34044511,16.0,,nan,2023.0,1,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF Pipe Solutions ApS,"Poppelgårdvej 4, 2860 Søborg",Gladsaxe,24.02.2016,1.0,Mikro,Anpartsselskab,37473871,40.0,583000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRESE METAL- OG STÅLSTØBERI A/S,"Sorøvej 6, 4200 Slagelse",Slagelse,30.12.1971,76.0,Mellemstor,Aktieselskab,37536318,4.4,47705000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DAMPA ApS,"Højeløkkevej 4 A, 5690 Tommerup",Assens,17.02.1992,71.0,Mellemstor,Anpartsselskab,16045489,14.001,30623000.0,DKK,2023.0,1,0,24,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aalborg Multiservice ApS,"Østre Alle 102, 9000 Aalborg",Aalborg,25.12.2018,42.0,Lille,Anpartsselskab,40149538,100.0,22084000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
