Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af friske bageriprodukter,Anden forarbejdning og konservering af frugt og grøntsager,"Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel",Fremstilling af mejeriprodukter,Fremstilling af færdige foderblandinger til landbrugsdyr,Fremstilling af andre fødevarer i.a.n.,Fremstilling af færdigretter,"Fremstilling af kakao, chokolade og sukkervarer",Fremstilling af kød- og fjerkrækødprodukter,Fremstilling af homogeniserede produkter og diætmad,Fremstilling af stivelse og stivelsesprodukter,Fremstilling af konsumis,Industriel fremstilling af brød og kager mv.,Fremstilling af mølleriprodukter,Fremstilling af olier og fedtstoffer,Forarbejdning af te og kaffe,Forarbejdning af andet kød,Fremstilling af frugt- og grøntsagssaft,Fremstilling af margarine o.lign. spiselige fedtstoffer,Fremstilling af færdige foderblandinger til kæledyr,Fremstilling af smagspræparater og krydderier,Fremstilling af dejprodukter,"Fremstilling af tvebakker, kiks, konserverede kager, tærter mv.",Forarbejdning og konservering af fjerkrækød,Fremstilling af fiskemel,Forarbejdning af svinekød,Forarbejdning og konservering af kartofler,Fremstilling af sukker
REINH. VAN HAUEN. GL. KONGEVEJ 177. FREDERIKSBERG ApS,"Gammel Kongevej 177, 1850 Frederiksberg C",Frederiksberg,31.12.1984,111.0,Mellemstor,Anpartsselskab,77209913,220,23639000.0,DKK,2024.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaffe Bueno ApS,"Islevdalvej 211 tv, 2610 Rødovre",Rødovre,15.07.2016,20.0,Lille,Anpartsselskab,37894036,96,-8665000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olextra ApS,"Industrivej 14, 7200 Grindsted",Billund,29.03.2021,5.0,Mikro,Anpartsselskab,42262137,73,-4908000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRUMME & CO. ApS,"Nordre Fasanvej 137, 2000 Frederiksberg",Frederiksberg,30.06.2009,5.0,Mikro,Anpartsselskab,32277411,125,1159000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOSA ApS,"Sonnerupvej 41, 3300 Frederiksværk",Halsnæs,01.01.2002,12.0,Lille,Anpartsselskab,26453844,125,5194000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagergården i Saksild ApS,"Strandvejen 11, 8300 Odder",Odder,18.04.2023,33.0,Lille,Anpartsselskab,43994425,40,7370000.0,DKK,2024.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCO SVENDBORG SLAGTEHUS A/S,"Porthusvej 75, 5700 Svendborg",Svendborg,01.10.1992,21.0,Lille,Aktieselskab,16523844,712,10851000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nordic Chocolatiers ApS,"Kirke Værløsevej 107, 3500 Værløse",Furesø,01.01.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41053232,40,-16000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPTM International ApS,"Abildbak 22, 9362 Gandrup",Aalborg,24.05.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29607346,125,44000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLAF SAND & CO. ApS,"Ringivevej 98, 7323 Give",Vejle,08.09.2011,5.0,Mikro,Anpartsselskab,33883374,80,2157000.0,DKK,2024.0,0,0,10,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hattesens Konfektfabrik ApS,"Tivoli 22, 5970 Ærøskøbing",Ærø,07.04.2017,10.0,Lille,Anpartsselskab,38569171,1.208,2480000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM Rentel ApS,"Notgangen 7, 2690 Karlslunde",Greve,12.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40929088,40,283000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Cabra Risteri ApS,"Århusgade 118 X, 2150 Nordhavn",København,01.11.2022,40.0,Lille,Anpartsselskab,43681176,40,10647000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyLoca Foods ApS,"Roskildevej 46 B, 2000 Frederiksberg",Frederiksberg,04.04.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43178180,40,,nan,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TH-Juice ApS,"Kildevej 148, 3200 Helsinge",Gribskov,17.03.2016,1.0,Mikro,Anpartsselskab,37547026,71,532000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torvebageriet Munkebo ApS,"Bycentret 202, 5330 Munkebo",Kerteminde,01.04.2017,10.0,Lille,Anpartsselskab,38561960,40,1275000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBILMOST A/S,"Oddervej 13, 7800 Skive",Skive,10.04.2013,1.0,Mikro,Aktieselskab,35225730,510,1115000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIRTSHALS SEAFOOD A/S,"Østergade 56, 9850 Hirtshals",Hjørring,01.09.1987,57.0,Mellemstor,Aktieselskab,11160808,15.250,24968000.0,DKK,2024.0,0,0,10,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vestegnens Bazar Nørrebro ApS,"Hamletsgade 4, 2200 København N",København,03.10.2019,18.0,Lille,Anpartsselskab,40845046,40,-26000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stryhns Gruppen A/S,"Vestre Kirkevej 15, 4000 Roskilde",Roskilde,01.04.1961,414.0,Stor,Aktieselskab,42155918,40.000,341146000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DANSØ HANDEL A/S,"Bødskovgårdvej 4, 8600 Silkeborg",Silkeborg,17.12.2002,1.0,Mikro,Aktieselskab,26932084,1.000,4457000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coffee Greens ApS,"Henningsens Alle 42, 2900 Hellerup",Gentofte,14.02.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36544392,550,31000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomona aps,"Roskildevej 319, 4390 Vipperød",Holbæk,25.03.2017,12.0,Lille,Anpartsselskab,38532995,50,2056000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGE LANNGS FABRIKER A/S,"Slåenvej 4, 8930 Randers NØ",Randers,30.11.1946,20.0,Lille,Aktieselskab,14961011,1.000,9098000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORSKOV FOODS A/S,"Hammesbrovej 12, 5883 Oure",Svendborg,01.01.1990,57.0,Mellemstor,Aktieselskab,13923299,900,38950000.0,DKK,2024.0,0,0,10,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ApS Hårby - Mad og Slagter,"Den Grønne Vej 1, 8660 Skanderborg",Skanderborg,29.02.2008,46.0,Lille,Anpartsselskab,31279666,125,7655000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HAMLET PROTEIN A/S,"Saturnvej 51, 8700 Horsens",Horsens,16.03.1992,61.0,Mellemstor,Aktieselskab,16049441,4.710,67470000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANÆG PRODUCTS A/S,"Maglegårdsvej 13, 4000 Roskilde",Roskilde,15.04.1986,70.0,Mellemstor,Aktieselskab,10226392,1.000,45572000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAFC A/S,"Skanderborgvej 19, 8751 Gedved",Horsens,26.01.2015,12.0,Lille,Aktieselskab,36503823,2.000,6774000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Greenwitch ApS,"Vardegade 4 3 tv, 2100 København Ø",København,21.02.2017,6.0,Mikro,Anpartsselskab,38469495,50,267000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mimoz ApS,"Sallingvej 9 st th, 2720 Vanløse",København,04.01.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38308017,50,-244000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHULZ KRYDDERFEDT A/S,"Dalgasvej 2, 7100 Vejle",Vejle,18.06.2001,2.0,Mikro,Aktieselskab,26099234,500,1164000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSHOLM A/S,"Strandvejen 101, 4281 Gørlev",Kalundborg,12.07.1984,48.0,Lille,Aktieselskab,17895907,714,79076000.0,DKK,2024.0,0,0,10,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MaxVonHaps ApS,"Holmetoften 13, 2970 Hørsholm",Hørsholm,18.04.2023,6.0,Mikro,Anpartsselskab,44005956,40,,nan,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea Longevity ApS,"Bredgade 3 4, 1260 København K",København,04.01.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37339024,50,75000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dansk Insekt Protein ApS,"Houmvej 8, 6893 Hemmet",Ringkøbing-Skjern,31.03.2016,2.0,Mikro,Anpartsselskab,37575550,50,14000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CocktailCompany ApS,"Erhvervsvej 17, 2600 Glostrup",Glostrup,04.10.2016,59.0,Mellemstor,Anpartsselskab,38061224,50,134000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEDEGAARD A/S,"Nordre Havnegade 3, 9400 Nørresundby",Aalborg,29.06.1916,Ikke oplyst,Ikke oplyst,Aktieselskab,34728712,90.648,0.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
September Group ApS,"Lille Strandstræde 14 A st, 1254 København K",København,01.03.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40328319,40,-643000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEBO ApS,"Knud Højgaards Vej 9, 2860 Søborg",Gladsaxe,14.08.2017,4.0,Mikro,Anpartsselskab,38878638,50,252000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMFI22 ApS,"Høsterkøbvej 65, 2970 Hørsholm",Hørsholm,29.12.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36480777,12.426,-62000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlaaChou ApS,"Midgårdsgade 1 4 tv, 2200 København N",København,25.01.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43010530,40,84000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAM OG NYBØL GODSER A/S,"Slotsvej 54, 6510 Gram",Haderslev,23.02.1945,120.0,Mellemstor,Aktieselskab,38097512,37.500,63543000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NANI A/S,"Kejlstrup Tværvej 6, 8600 Silkeborg",Silkeborg,16.06.2003,10.0,Lille,Aktieselskab,27201482,1.000,2122000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reduced ApS,"Kattegatvej 45 st, 2150 Nordhavn",København,19.03.2020,29.0,Lille,Anpartsselskab,41268336,140,-6070000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ØSTERMOSE BIOENERGI ApS,"Faksevej 17, 7400 Herning",Herning,13.10.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29977089,500,-11000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Production ApS,"Jerlevvej 40, 7100 Vejle",Vejle,20.11.2017,7.0,Mikro,Anpartsselskab,39107902,50,7056000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBROFROST DENMARK A/S,"Ringvej 14, 5853 Ørbæk",Nyborg,01.08.1992,94.0,Mellemstor,Aktieselskab,15736240,15.666,110246000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HH Bolcher ApS,"Udklitvej 31, 9690 Fjerritslev",Jammerbugt,15.06.2020,8.0,Mikro,Anpartsselskab,41445998,40,5252000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sæberiet Ærø ApS,"Vester Bregninge 31, 5970 Ærøskøbing",Ærø,12.08.2020,3.0,Mikro,Anpartsselskab,41588101,250,258000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dansk Salt A/S,"Hadsundvej 17, 9550 Mariager",Mariagerfjord,16.03.1993,115.0,Mellemstor,Aktieselskab,17030744,50.000,38672000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KONDITOR BAGER BORNHOLM A/S,"Snorrebakken 3, 3700 Rønne",Bornholm,27.01.2011,40.0,Lille,Aktieselskab,33492715,2.020,10887000.0,DKK,2023.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gislinge Bageren ApS,"Adelers Alle 228, 4532 Gislinge",Holbæk,30.09.2021,12.0,Lille,Anpartsselskab,42723487,40,2573000.0,DKK,2024.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLUFS ANPARTSSELSKAB AF 2014,"Olfert Fischers Gade 44 st -1, 1311 København K",København,13.02.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35667962,50,-8000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSSES BAGERI OG KONDITORI ApS,"Østerbrogade 132, 2100 København Ø",København,01.01.1997,20.0,Lille,Anpartsselskab,20016000,200,4952000.0,DKK,2024.0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copenhagen Coffee Lab ApS,"Bådehavnsgade 44 F, 2450 København SV",København,28.01.2019,15.0,Lille,Anpartsselskab,40207929,100,6537000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clean Noodles ApS,"Haderslevgade 26, 1671 København V",København,16.06.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42471224,40,-187000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Consult Service ApS,"Fjordvang 3, 4300 Holbæk",Holbæk,04.11.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37227366,50,308000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISMAGERIET ApS,"Flæsketorvet 45, 1711 København V",København,22.06.2010,218.0,Mellemstor,Anpartsselskab,33048122,80,25386000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANEPORK A/S,"Tørskindvej 19, 7183 Randbøl",Vejle,08.05.1989,509.0,Stor,Aktieselskab,13222495,500,345737000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Royal-Skagen ApS,"Allervej 130, 6070 Christiansfeld",Kolding,04.02.2021,6.0,Mikro,Anpartsselskab,42088927,50,9293000.0,DKK,2023.0,0,0,10,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oialla ApS,"Sortemosevej 21, 3450 Allerød",Allerød,30.03.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33587511,1.112,125000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Petfood Denmark A/S,"Birkegårdsvej 3, 8361 Hasselager",Århus,16.10.1981,59.0,Mellemstor,Aktieselskab,63840610,523,65743000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREDIN A/S,"Palsgaardvej 12, 7130 Juelsminde",Hedensted,04.02.2002,59.0,Mellemstor,Aktieselskab,26447003,5.000,33355000.0,DKK,2023.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HANCOCK BRYGGERIERNE A/S,"Humlevej 32, 7800 Skive",Skive,17.12.1970,74.0,Mellemstor,Aktieselskab,32371817,600,37781000.0,DKK,2024.0,0,0,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
