Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Reparation og vedligeholdelse af færdige metalprodukter,Reparation og vedligeholdelse af maskiner,Reparation og vedligeholdelse af elektrisk udstyr,Installation af industrimaskiner og -udstyr,Reparation og vedligeholdelse af civile skibe og både,Reparation og vedligeholdelse af elektronisk og optisk udstyr,Reparation og vedligeholdelse af civile luft- og rumfartøjer,Reparation og vedligeholdelse af andet udstyr,Reparation og vedligeholdelse af andre civile transportmidler,"Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer"
SaxoLift ApS,"Fabriksvænget 18, 4130 Viby Sjælland",Roskilde,26.09.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43552767,40.0,5000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FK Smedie A/S,"Randersvej 14, 8961 Allingåbro",Norddjurs,11.05.2016,20.0,Lille,Aktieselskab,37696307,500.0,7411000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PALFINGER MARINE DK A/S,"Klosterbakken 12 2 tv, 5000 Odense C",Odense,09.11.2010,Ikke oplyst,Ikke oplyst,Aktieselskab,33261594,502.0,11011000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallan Elektronik ApS,"Mølle Allé 5 2 tv, 2500 Valby",København,24.05.2023,1.0,Mikro,Anpartsselskab,44087790,40.0,198000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG Precision ApS,"Hestehøjvej 9, 9632 Møldrup",Viborg,03.03.2017,8.0,Mikro,Anpartsselskab,38463586,50.0,3354000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klimablock Herning ApS,"Teglvænget 23, 7400 Herning",Herning,16.12.2019,8.0,Mikro,Anpartsselskab,41014415,40.0,5444000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E.J. SERVICE A/S,"Cikorievej 54, 5220 Odense SØ",Odense,29.02.2008,6.0,Mikro,Aktieselskab,31298946,600.0,5034000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYDJYSK MALKE OG STALDTEKNIK A/S,"Skånevej 20, 6230 Rødekro",Aabenraa,10.02.2006,36.0,Lille,Aktieselskab,29397724,400.0,24112000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYDSK LØFTE- OG MASKINTEKNIK ApS,"Erhvervsparken 2, 9500 Hobro",Mariagerfjord,01.04.1997,39.0,Lille,Anpartsselskab,20042702,125.0,26920000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKOVLUNDE ALLROUND SERVICE ApS,"Ålegårdsvej 32, 2740 Skovlunde",Ballerup,01.06.2010,1.0,Mikro,Anpartsselskab,32943012,80.0,2312000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
