Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af computere og ydre enheder,"Fremstilling af udstyr til måling, afprøvning og navigation",Fremstilling af elektronik til husholdninger,Fremstilling af kommunikationsudstyr,Fremstilling af høreapparater og dele hertil,Fremstilling af ure,Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk udstyr,Fremstilling af elektroniske komponenter,"Fremstilling af optiske instrumenter, magnetiske og optiske medier og fotografisk udstyr",Fremstilling af printplader o.lign.
EMRI A/S,"Meterbuen 27 C, 2740 Skovlunde",Ballerup,10.06.2020,62.0,Mellemstor,Aktieselskab,41426799,1.001,18971000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCmVeloci ApS,"Smedeland 2, 2600 Glostrup",Glostrup,28.06.2016,6.0,Mikro,Anpartsselskab,37831565,50,2616000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLONIDAN A/S,"Islandsvej 29, 8700 Horsens",Horsens,29.11.1982,38.0,Lille,Aktieselskab,89919916,4.002,-1786000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBILTEKNIK A/S,"Brombærvænget 1, 2650 Hvidovre",Hvidovre,10.06.2003,2.0,Mikro,Aktieselskab,27199127,500,-9000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fibrenetix ApS,"Langebjerg 23 B, 4000 Roskilde",Roskilde,13.02.2020,4.0,Mikro,Anpartsselskab,41170689,40,4661000.0,DKK,2024.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PointSource Acoustics ApS,"Lærkevænget 1, 4130 Viby Sjælland",Roskilde,30.06.2016,2.0,Mikro,Anpartsselskab,37844209,50,446000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPIA ENERGY ApS,"Troensevej 19 B, 9220 Aalborg Øst",Aalborg,18.02.2005,2.0,Mikro,Anpartsselskab,28491018,125,904000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LARSEN & BRUSGAARD ApS,"Ledreborg Alle 28, 4000 Roskilde",Roskilde,01.05.1991,9.0,Mikro,Anpartsselskab,15555092,200,21848000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELSTER-INSTROMET A/S,"Læsøvej 3 B, 9800 Hjørring",Hjørring,02.11.1984,5.0,Mikro,Aktieselskab,76403112,900,11950000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ioimachines ApS,"Hvidovrevej 44, 2610 Rødovre",Rødovre,01.04.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40440224,50,-34000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Johansen Holding ApS,"Kirkevej 27, 3230 Græsted",Gribskov,14.04.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41315598,50,240000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GENIALEFELDT APS,"Parnasvej 11, 4180 Sorø",Sorø,02.01.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,36489723,50,-2000.0,DKK,2024.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINETICO DENMARK ApS,"Sandvadsvej 7, 4600 Køge",Køge,02.10.2001,28.0,Lille,Anpartsselskab,26254310,1.000,26615000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHORA A/S,"Sødalsparken 11, 8220 Brabrand",Århus,09.07.2007,48.0,Lille,Aktieselskab,30726472,1.800,113689000.0,DKK,2023.0,0,0,26,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MB Diagnostics ApS,"Fruerlund 28, 2850 Nærum",Rudersdal,11.11.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38185853,50,30000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SPIROMAGIC ApS,"Dynamovej 11 2 tv, 2860 Søborg",Gladsaxe,09.04.2021,3.0,Mikro,Anpartsselskab,42288829,44,-214000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELPRO NORDIC ApS,"Ledreborg Alle 128 G, 4000 Roskilde",Roskilde,20.07.2011,3.0,Mikro,Anpartsselskab,33863659,80,2072000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEEJET TECHNOLOGIES DENMARK ApS,"Mølhavevej 2, 9440 Aabybro",Jammerbugt,10.07.2000,41.0,Lille,Anpartsselskab,25499182,2.000,25442000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MedArt ApS,"Industriholmen 15 A, 2650 Hvidovre",Hvidovre,07.12.2020,6.0,Mikro,Anpartsselskab,41925736,40,2404000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Typhon Technologies ApS,"Stokagervej 5, 8240 Risskov",Århus,24.06.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39680661,75,-37000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAN TOOLS A/S,"Byhavegårdsvej 2, 4571 Grevinge",Odsherred,01.09.2012,30.0,Lille,Aktieselskab,34701075,500,16159000.0,DKK,2024.0,1,0,26,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RADIOMETER MEDICAL ApS,"Åkandevej 21, 2700 Brønshøj",København,14.01.2004,1296.0,Stor,Anpartsselskab,27509185,2.202.343,3097000000.0,DKK,2023.0,1,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVIA RADIO A/S,"Kasernevej 5, 2791 Dragør",Tårnby,09.01.1952,7.0,Mikro,Aktieselskab,12862318,510,1885000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOKE RETAIL TECHNOLOGY A/S,"Torvestræde 7, 4760 Vordingborg",Vordingborg,18.01.2016,Ikke oplyst,Ikke oplyst,Aktieselskab,37394890,589,0.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENTLIS ApS,"Klovenbjergvej 8, 3200 Helsinge",Gribskov,27.10.1998,Ikke oplyst,Ikke oplyst,Anpartsselskab,21308803,125,-162000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZENITEL ETRONIC ApS,"Rødeledsvej 95 B, 5700 Svendborg",Svendborg,13.05.2014,35.0,Lille,Anpartsselskab,35851097,60,18852000.0,DKK,2023.0,1,0,26,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VIDEOMETER A/S,"Hørkær 12 B 3, 2730 Herlev",Herlev,25.06.1999,21.0,Lille,Aktieselskab,24230430,503,16911000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ELTOMATIC A/S,"Fabriksvej 6, 9490 Pandrup",Jammerbugt,26.06.2000,5.0,Mikro,Aktieselskab,25469968,1.000,3553000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAAS ApS,"Sankt Hans Gade 24 E st, 2200 København N",København,08.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40942491,100,-231000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBO Hearing A/S,"Kongebakken 9, 2765 Smørum",Egedal,24.08.2018,2.0,Mikro,Aktieselskab,39818558,500,3512000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bakkendorff ApS,"Jagtvej 220 kl 1, 2100 København Ø",København,01.04.2017,1.0,Mikro,Anpartsselskab,38549669,40,639000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NEMOY INTERNATIONAL APS,"Nødholmsvej 11, 4171 Glumsø",Næstved,01.04.2016,1.0,Mikro,Anpartsselskab,37577677,40,1786000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sawux ApS,"Enebærvej 5, 9310 Vodskov",Aalborg,22.08.2013,1.0,Mikro,Anpartsselskab,35417338,89,316000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tector ApS,"Tranevej 16 st, 2400 København NV",København,03.12.2019,10.0,Lille,Anpartsselskab,40984518,164,2112000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danske Klar Timepieces ApS,"Gartnervej 27, 4632 Bjæverskov",Køge,18.08.2018,1.0,Mikro,Anpartsselskab,39792672,40,20000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Frii Designs ApS,"Strandlodsvej 9 D st, 2300 København S",København,08.07.2023,1.0,Mikro,Anpartsselskab,44181258,40,659000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STELLA CARE ApS,"Kalkbrænderiløbskaj 6 1, 2100 København Ø",København,28.03.2012,9.0,Mikro,Anpartsselskab,34472416,80,8815000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEIF A/S,"Frisenborgvej 33, 7800 Skive",Skive,01.06.1933,412.0,Stor,Aktieselskab,15798416,5.155,,nan,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELTJENER-ELEKTRONIK ApS,"Bohrsvej 10, 8600 Silkeborg",Silkeborg,29.06.1979,4.0,Mikro,Anpartsselskab,86635712,150,2289000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SENSOHIVE TECHNOLOGIES ApS,"Thomas B. Thriges Gade 42 st, 5000 Odense C",Odense,04.11.2014,21.0,Lille,Anpartsselskab,36424540,100,9295000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THIIM A/S,"Transformervej 31, 2860 Søborg",Gladsaxe,16.12.1971,23.0,Lille,Aktieselskab,34649510,500,15149000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smartmall ApS,"Solbakken 206 st, 5330 Munkebo",Kerteminde,16.02.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37472530,50,6000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inmutouch.com ApS,"Klakring Stationsvej 20, 7130 Juelsminde",Hedensted,25.09.2015,4.0,Mikro,Anpartsselskab,37109037,50,1752000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBSEN PHOTONICS A/S,"Ryttermarken 17, 3520 Farum",Furesø,12.10.2001,79.0,Mellemstor,Aktieselskab,26284066,6.857,56173000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FIRE EATER A/S,"Vølundsvej 17, 3400 Hillerød",Hillerød,15.03.1979,72.0,Mellemstor,Aktieselskab,59538713,520,70915000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BECKMAN COULTER DANMARK ApS,"Åbenrå 23, 1124 København K",København,10.12.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,31088798,125,2970000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Linc ApS,"Østerbrogade 226 st 1, 2100 København Ø",København,30.03.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43964739,40,2000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BAUMER A/S,"Runetoften 19, 8210 Aarhus V",Århus,27.03.2000,74.0,Mellemstor,Aktieselskab,25275071,6.000,68229000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLUIDAN ApS,"Diplomvej 381, 2800 Kgs. Lyngby",Lyngby-Taarbæk,26.09.2014,8.0,Mikro,Anpartsselskab,36392355,940,1805000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDE CONSULT ApS,"Søndervej 14, 4050 Skibby",Frederikssund,06.02.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31277221,125,44000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMBILENT A/S,"Ryttermarken 5, 3520 Farum",Furesø,01.10.1996,25.0,Lille,Aktieselskab,19623742,600,23981000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Puriso ApS,"Kongevænget 19, 2765 Smørum",Egedal,28.05.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41394021,40,0.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOULDFLO A/S,"Dynamovej 11 2 tv, 2860 Søborg",Gladsaxe,04.12.2014,6.0,Mikro,Aktieselskab,36459344,990,5202000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONVERDAN A/S,"Aage Grams Vej 6, 6500 Vojens",Haderslev,24.05.2013,35.0,Lille,Aktieselskab,35247351,625,28951000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Onyx ApS,"Tuborg Bakkedrag 14 st tv, 2900 Hellerup",Gentofte,25.08.2020,1.0,Mikro,Anpartsselskab,41615869,40,4467000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SCANCON ENCODERS A/S,"Huginsvej 8, 3400 Hillerød",Hillerød,26.05.1977,37.0,Lille,Aktieselskab,81117012,2.500,28206000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NEEV International ApS,"Valdemarsvej 6, 2990 Nivå",Fredensborg,28.03.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38566334,40,-116000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SENSORIST ApS,"Njalsgade 76 4, 2300 København S",København,08.08.2012,2.0,Mikro,Anpartsselskab,34627290,278,4900000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OJ ELECTRONICS A/S,"Stenager 13 B, 6400 Sønderborg",Sønderborg,26.11.1986,168.0,Mellemstor,Aktieselskab,10643597,1.040,66453000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORESCON POS ApS,"Tannebækvej 25, 7620 Lemvig",Lemvig,28.01.2018,4.0,Mikro,Anpartsselskab,39290375,40,766000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLAS MARIDAN ApS,"Rungsted Havn 1 D, 2960 Rungsted Kyst",Hørsholm,03.03.2004,7.0,Mikro,Anpartsselskab,27627730,125,3021000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTS Denmark A/S,"Porthusvej 4, 3490 Kvistgård",Helsingør,15.03.2001,121.0,Mellemstor,Aktieselskab,25954971,26.501,113490000.0,DKK,2023.0,1,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kirptime ApS,"Hjulmagervej 15 D, 7100 Vejle",Vejle,03.01.2022,2.0,Mikro,Anpartsselskab,42953660,40,578000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Anders Christensen Technologies ApS,"Alliancevej 35 6 tv, 2450 København SV",København,11.11.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37237434,50,0.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPC SOLUTIONS ApS,"Nydamsvej 27, 6040 Egtved",Vejle,20.03.2001,11.0,Lille,Anpartsselskab,25958349,126,4534000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Provira ApS,"Dommerparken 30, 8450 Hammel",Favrskov,22.04.2022,2.0,Mikro,Anpartsselskab,43216759,40,675000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENSE-TECH (DK) ApS,"Bygade 43 A, 7173 Vonge",Vejle,16.09.1996,1.0,Mikro,Anpartsselskab,19517683,125,438000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNISENSE ENVIRONMENT A/S,"Langdyssen 5, 8200 Aarhus N",Århus,04.12.2013,6.0,Mikro,Aktieselskab,25570588,500,7703000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORDSENSE ApS,"Vendersgade 28 2 th, 1363 København K",København,24.03.2015,12.0,Lille,Anpartsselskab,36693347,51,-1187000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HG2 ApS,"Nordre Beddingsvej 24 1 tv, 3390 Hundested",Halsnæs,19.04.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43207598,40,-49000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bergmann Audio A/S,"Sjællandsvej 27 A, 9500 Hobro",Mariagerfjord,28.06.2022,2.0,Mikro,Aktieselskab,43356933,400,1220000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBROSE ApS,"Bymarksvej 15, 5600 Faaborg",Faaborg-Midtfyn,01.10.2006,2.0,Mikro,Anpartsselskab,29928908,125,433000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vãk ApS,"Nannasgade 12 3, 2200 København N",København,21.06.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43365703,40,-151000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLHIT ApS,"Kratager 21, 2620 Albertslund",Albertslund,18.06.1979,1.0,Mikro,Anpartsselskab,87392228,200,102000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eyemind ApS,"Vesterbrogade 125 1 th, 1620 København V",København,17.11.2015,3.0,Mikro,Anpartsselskab,37235261,49,67000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVA GROUP A/S,"Dueoddevej 6 B, 7400 Herning",Herning,20.11.2006,12.0,Lille,Aktieselskab,29800804,1.168,8534000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Det 3. Øje ApS,"Århusgade 118, 2150 Nordhavn",København,20.06.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,37807834,50,-16000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT PHOTONICS A/S,"Bregnerødvej 144, 3460 Birkerød",Rudersdal,09.11.2000,319.0,Stor,Aktieselskab,10048265,16.000,35035000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cepheid Denmark ApS,"Lautrupsgade 11, 2100 København Ø",København,25.06.2021,3.0,Mikro,Anpartsselskab,42493139,500,6452000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHAaM Holdings ApS,"Slangerupgade 6 3 th, 2200 København N",København,18.11.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38191454,40,-6000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ACCESS TECHNOLOGY A/S,"Marøgelhøj 22 C, 8520 Lystrup",Århus,25.03.2010,29.0,Lille,Aktieselskab,32831192,400,27841000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRICATECH A/S,"Leopardvej 5, 7700 Thisted",Thisted,25.06.2007,3.0,Mikro,Aktieselskab,30691970,500,1706000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EO-P ApS,"Ørsteds Plads 347, 2800 Kgs. Lyngby",Lyngby-Taarbæk,11.01.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33387547,80,6268000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS TRADING ODENSE A/S,"Thorsgade 5 st th, 5000 Odense C",Odense,15.12.2007,Ikke oplyst,Ikke oplyst,Aktieselskab,30517679,500,60000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MILLPOND ApS,"Hørmarken 2, 3520 Farum",Furesø,22.10.2013,4.0,Mikro,Anpartsselskab,35519289,1.800,2973000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CRYPTERA A/S,"Fabriksparken 20, 2600 Glostrup",Glostrup,24.10.2002,39.0,Lille,Aktieselskab,26837928,1.136,30839000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corenco Automation ApS,"Energivej 4 D, 5260 Odense S",Odense,17.10.2016,8.0,Mikro,Anpartsselskab,38113879,200,7558000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOCON ApS,"Gårslev Østergade 27 A, 7080 Børkop",Vejle,14.08.2007,1.0,Mikro,Anpartsselskab,30799305,125,631000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NeoMesteren Aps,"Tjelevej 30 B 1, 7400 Herning",Herning,13.09.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34703094,80,163000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT DOKTOREN ApS,"Søndergade 13, 7830 Vinderup",Holstebro,10.11.2014,1.0,Mikro,Anpartsselskab,36432918,50,,nan,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKT ELECTRONICS ApS,"H C Ørsteds Vej 8, 7800 Skive",Skive,23.06.1994,72.0,Mellemstor,Anpartsselskab,17870890,392,10569000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troldhøj Traktor Teknik ApS,"Lundby Hovedgade 136, 4750 Lundby",Vordingborg,29.09.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41715561,40,-6000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAFEMATE ApS,"Sønderskovvej 3, 5900 Rudkøbing",Langeland,05.02.2016,1.0,Mikro,Anpartsselskab,37461997,100,23000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPLAND ApS,"Amalievej 23 1 tv, 1875 Frederiksberg C",Frederiksberg,24.08.2000,Ikke oplyst,Ikke oplyst,Anpartsselskab,25585364,125,620000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KNOP ELEKTRONIK A/S,"Fabriksvej 20, 7600 Struer",Struer,22.12.2004,13.0,Lille,Aktieselskab,28305249,500,6304000.0,DKK,2023.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Midronome ApS,"Langenæs Allé 33 1 th, 8000 Aarhus C",Århus,08.11.2021,1.0,Mikro,Anpartsselskab,42814423,50,1659000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEPHAN ALMS GROUP ApS,"Frugthaven 4, 8541 Skødstrup",Århus,01.05.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35846972,50,-14000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB SCIEX ApS,"Åkandevej 21, 2700 Brønshøj",København,11.09.2009,6.0,Mikro,Anpartsselskab,32448615,125,8322000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM² Photonics ApS,"Munkehøjvænge 23, 3520 Farum",Furesø,13.12.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41939974,40,230000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Frostbox Labs ApS,"Brydegårdsvej 15 A, 2760 Måløv",Ballerup,18.01.2021,2.0,Mikro,Anpartsselskab,42040673,40,234000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NORLASE ApS,"Brydehusvej 13, 2750 Ballerup",Ballerup,21.01.2014,45.0,Lille,Anpartsselskab,35644547,203,18066000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRACK THE STARS ApS,"Enghøjvej 17, 3660 Stenløse",Egedal,01.01.2004,1.0,Mikro,Anpartsselskab,27579469,125,199000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EMCO CONTROLS A/S,"Høgevej 6, 3400 Hillerød",Hillerød,04.01.1977,27.0,Lille,Aktieselskab,80219512,900,18720000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STARTEC ApS,"H.J. Holst Vej 24, 2610 Rødovre",Rødovre,01.12.1991,Ikke oplyst,Ikke oplyst,Anpartsselskab,15679689,200,-7000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
