Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af andet elektrisk udstyr,"Fremstilling af elektriske motorer, generatorer og transformatorer",Fremstilling af andre elektroniske og elektriske ledninger og kabler,Fremstilling af elektriske fordelings- og kontrolapparater,Fremstilling af belysningsartikler,Fremstilling af tilbehør til ledninger og kabler,Fremstilling af elektriske husholdningsapparater,Fremstilling af ikke-elektriske husholdningsapparater,Fremstilling af batterier og akkumulatorer,Fremstilling af lyslederkabler
Dolphin Care ApS,"Unionsvej 11, 4600 Køge",Køge,01.03.2016,2.0,Mikro,Anpartsselskab,37517690,64.0,-4226000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIONIA LIGHTING A/S,"Industrivej 8, 5471 Søndersø",Nordfyns,15.10.2008,Ikke oplyst,Ikke oplyst,Aktieselskab,31781795,1.0,104000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Elmotech ApS,"Frichsvej 48, 8600 Silkeborg",Silkeborg,22.12.2015,3.0,Mikro,Anpartsselskab,37330086,50.0,925000.0,DKK,2023.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISOFLEX HOLDING ApS,"Hagensvej 7, 9530 Støvring",Rebild,04.06.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31500079,125.0,-98000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Logic Group A/S,"Theilgaards Alle 9, 4600 Køge",Køge,15.03.2022,3.0,Mikro,Aktieselskab,43126172,400.0,1105000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DavuTech ApS,"Vaskilde 54, 6400 Sønderborg",Sønderborg,05.10.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42742678,50.0,-1000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOUIS POULSEN A/S,"Kuglegårdsvej 19, 1434 København K",København,01.04.1958,346.0,Stor,Aktieselskab,59742817,10.0,261000000.0,DKK,2023.0,1,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nordisk Teknik ApS,"Skovhusvejen 96, 4350 Ugerløse",Holbæk,30.06.2020,1.0,Mikro,Anpartsselskab,41521236,400.0,1425000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWARCO TECHNOLOGY ApS,"C.F. Tietgens Boulevard 25, 5220 Odense SØ",Odense,01.02.1997,30.0,Lille,Anpartsselskab,19943305,166.0,38140000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whatapipe ApS,"Frederiksborggade 15, 1360 København K",København,14.11.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38179616,40.0,0.0,DKK,2023.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
